sexe;preusuel;annais;nombre
1;GUY;1900;97
1;GUY;1901;95
1;GUY;1902;120
1;GUY;1903;133
1;GUY;1904;174
1;GUY;1905;190
1;GUY;1906;251
1;GUY;1907;255
1;GUY;1908;268
1;GUY;1909;372
1;GUY;1910;429
1;GUY;1911;528
1;GUY;1912;555
1;GUY;1913;717
1;GUY;1914;778
1;GUY;1915;545
1;GUY;1916;477
1;GUY;1917;629
1;GUY;1918;817
1;GUY;1919;1049
1;GUY;1920;1947
1;GUY;1921;2222
1;GUY;1922;2513
1;GUY;1923;2816
1;GUY;1924;3088
1;GUY;1925;3705
1;GUY;1926;4402
1;GUY;1927;4108
1;GUY;1928;4847
1;GUY;1929;5477
1;GUY;1930;5979
1;GUY;1931;6125
1;GUY;1932;6599
1;GUY;1933;6330
1;GUY;1934;6780
1;GUY;1935;6603
1;GUY;1936;6912
1;GUY;1937;6873
1;GUY;1938;6349
1;GUY;1939;6306
1;GUY;1940;5677
1;GUY;1941;4809
1;GUY;1942;5482
1;GUY;1943;5857
1;GUY;1944;5969
1;GUY;1945;6078
1;GUY;1946;9285
1;GUY;1947;9391
1;GUY;1948;8799
1;GUY;1949;8390
1;GUY;1950;8231
1;GUY;1951;7760
1;GUY;1952;6865
1;GUY;1953;6596
1;GUY;1954;5798
1;GUY;1955;5814
1;GUY;1956;5048
1;GUY;1957;4901
1;GUY;1958;4180
1;GUY;1959;4213
1;GUY;1960;3476
1;GUY;1961;3206
1;GUY;1962;2947
1;GUY;1963;2701
1;GUY;1964;2355
1;GUY;1965;2091
1;GUY;1966;1750
1;GUY;1967;1515
1;GUY;1968;1331
1;GUY;1969;1031
1;GUY;1970;872
1;GUY;1971;662
1;GUY;1972;526
1;GUY;1973;394
1;GUY;1974;314
1;GUY;1975;287
1;GUY;1976;237
1;GUY;1977;182
1;GUY;1978;165
1;GUY;1979;144
1;GUY;1980;158
1;GUY;1981;149
1;GUY;1982;142
1;GUY;1983;124
1;GUY;1984;98
1;GUY;1985;109
1;GUY;1986;106
1;GUY;1987;72
1;GUY;1988;98
1;GUY;1989;61
1;GUY;1990;66
1;GUY;1991;53
1;GUY;1992;56
1;GUY;1993;53
1;GUY;1994;51
1;GUY;1995;41
1;GUY;1996;36
1;GUY;1997;31
1;GUY;1998;36
1;GUY;1999;36
1;GUY;2000;36
1;GUY;2001;29
1;GUY;2002;28
1;GUY;2003;21
1;GUY;2004;22
1;GUY;2005;20
1;GUY;2006;18
1;GUY;2007;15
1;GUY;2008;19
1;GUY;2009;17
1;GUY;2010;11
1;GUY;2011;10
1;GUY;2012;8
1;GUY;2013;12
1;GUY;2014;14
1;GUY;2015;8
1;GUY;2016;13
1;GUY;2017;5
1;GUY;2018;9
1;GUY;2019;8
1;GUY;2020;8
1;GUY;2021;7
1;GUY;2022;5
