sexe;preusuel;annais;nombre
2;ROSIE;1926;3
2;ROSIE;1930;4
2;ROSIE;1932;5
2;ROSIE;1934;3
2;ROSIE;1940;4
2;ROSIE;1941;3
2;ROSIE;1943;4
2;ROSIE;1944;6
2;ROSIE;1947;4
2;ROSIE;1950;11
2;ROSIE;1951;4
2;ROSIE;1952;4
2;ROSIE;1954;4
2;ROSIE;1955;4
2;ROSIE;1956;6
2;ROSIE;1957;5
2;ROSIE;1958;3
2;ROSIE;1959;7
2;ROSIE;1960;8
2;ROSIE;1961;3
2;ROSIE;1962;6
2;ROSIE;1963;11
2;ROSIE;1964;7
2;ROSIE;1965;3
2;ROSIE;1966;5
2;ROSIE;1967;6
2;ROSIE;1969;4
2;ROSIE;1970;5
2;ROSIE;1972;3
2;ROSIE;1975;5
2;ROSIE;1976;3
2;ROSIE;1977;5
2;ROSIE;1983;6
2;ROSIE;1989;3
2;ROSIE;1990;8
2;ROSIE;1991;8
2;ROSIE;1992;6
2;ROSIE;1993;8
2;ROSIE;1994;6
2;ROSIE;1995;8
2;ROSIE;1996;8
2;ROSIE;1997;9
2;ROSIE;1998;10
2;ROSIE;1999;10
2;ROSIE;2000;12
2;ROSIE;2001;29
2;ROSIE;2002;33
2;ROSIE;2003;31
2;ROSIE;2004;58
2;ROSIE;2005;41
2;ROSIE;2006;40
2;ROSIE;2007;65
2;ROSIE;2008;88
2;ROSIE;2009;81
2;ROSIE;2010;78
2;ROSIE;2011;88
2;ROSIE;2012;71
2;ROSIE;2013;91
2;ROSIE;2014;108
2;ROSIE;2015;111
2;ROSIE;2016;115
2;ROSIE;2017;96
2;ROSIE;2018;131
2;ROSIE;2019;115
2;ROSIE;2020;129
2;ROSIE;2021;128
2;ROSIE;2022;108
2;ROSIE;XXXX;55
