sexe;preusuel;annais;nombre
2;TASSADIT;1951;3
2;TASSADIT;1952;7
2;TASSADIT;1953;4
2;TASSADIT;1954;4
2;TASSADIT;1955;8
2;TASSADIT;1956;14
2;TASSADIT;1957;9
2;TASSADIT;1958;11
2;TASSADIT;1959;15
2;TASSADIT;1960;18
2;TASSADIT;1961;16
2;TASSADIT;1962;22
2;TASSADIT;1963;19
2;TASSADIT;1964;20
2;TASSADIT;1965;13
2;TASSADIT;1966;27
2;TASSADIT;1967;28
2;TASSADIT;1968;19
2;TASSADIT;1969;28
2;TASSADIT;1970;17
2;TASSADIT;1971;21
2;TASSADIT;1972;23
2;TASSADIT;1973;19
2;TASSADIT;1974;12
2;TASSADIT;1975;19
2;TASSADIT;1976;9
2;TASSADIT;1977;20
2;TASSADIT;1978;11
2;TASSADIT;1979;13
2;TASSADIT;1980;13
2;TASSADIT;1981;14
2;TASSADIT;1982;8
2;TASSADIT;1983;15
2;TASSADIT;1984;17
2;TASSADIT;1985;7
2;TASSADIT;1986;8
2;TASSADIT;1987;8
2;TASSADIT;1988;8
2;TASSADIT;1989;7
2;TASSADIT;1990;9
2;TASSADIT;1991;6
2;TASSADIT;1992;8
2;TASSADIT;1994;4
2;TASSADIT;1998;4
2;TASSADIT;1999;3
2;TASSADIT;2002;6
2;TASSADIT;2003;4
2;TASSADIT;2004;7
2;TASSADIT;2007;7
2;TASSADIT;2008;8
2;TASSADIT;2009;4
2;TASSADIT;2010;3
2;TASSADIT;2013;4
2;TASSADIT;2015;4
2;TASSADIT;2016;3
2;TASSADIT;2018;5
2;TASSADIT;2019;7
2;TASSADIT;XXXX;26
