sexe;preusuel;annais;nombre
1;KELVIN;1977;3
1;KELVIN;1983;3
1;KELVIN;1985;3
1;KELVIN;1986;3
1;KELVIN;1987;4
1;KELVIN;1988;11
1;KELVIN;1990;13
1;KELVIN;1991;4
1;KELVIN;1992;14
1;KELVIN;1993;12
1;KELVIN;1994;22
1;KELVIN;1995;15
1;KELVIN;1996;26
1;KELVIN;1997;25
1;KELVIN;1998;30
1;KELVIN;1999;53
1;KELVIN;2000;56
1;KELVIN;2001;75
1;KELVIN;2002;59
1;KELVIN;2003;72
1;KELVIN;2004;73
1;KELVIN;2005;82
1;KELVIN;2006;109
1;KELVIN;2007;104
1;KELVIN;2008;105
1;KELVIN;2009;77
1;KELVIN;2010;68
1;KELVIN;2011;91
1;KELVIN;2012;74
1;KELVIN;2013;73
1;KELVIN;2014;81
1;KELVIN;2015;72
1;KELVIN;2016;62
1;KELVIN;2017;49
1;KELVIN;2018;61
1;KELVIN;2019;46
1;KELVIN;2020;38
1;KELVIN;2021;32
1;KELVIN;2022;26
1;KELVIN;XXXX;16
