sexe;preusuel;annais;nombre
1;MAX;1900;103
1;MAX;1901;124
1;MAX;1902;116
1;MAX;1903;131
1;MAX;1904;144
1;MAX;1905;167
1;MAX;1906;144
1;MAX;1907;182
1;MAX;1908;190
1;MAX;1909;209
1;MAX;1910;205
1;MAX;1911;254
1;MAX;1912;288
1;MAX;1913;335
1;MAX;1914;288
1;MAX;1915;168
1;MAX;1916;156
1;MAX;1917;169
1;MAX;1918;158
1;MAX;1919;173
1;MAX;1920;337
1;MAX;1921;364
1;MAX;1922;442
1;MAX;1923;399
1;MAX;1924;323
1;MAX;1925;422
1;MAX;1926;481
1;MAX;1927;453
1;MAX;1928;487
1;MAX;1929;529
1;MAX;1930;570
1;MAX;1931;622
1;MAX;1932;607
1;MAX;1933;562
1;MAX;1934;562
1;MAX;1935;646
1;MAX;1936;663
1;MAX;1937;641
1;MAX;1938;649
1;MAX;1939;600
1;MAX;1940;418
1;MAX;1941;496
1;MAX;1942;534
1;MAX;1943;578
1;MAX;1944;600
1;MAX;1945;557
1;MAX;1946;815
1;MAX;1947;701
1;MAX;1948;703
1;MAX;1949;667
1;MAX;1950;706
1;MAX;1951;641
1;MAX;1952;637
1;MAX;1953;658
1;MAX;1954;571
1;MAX;1955;610
1;MAX;1956;592
1;MAX;1957;575
1;MAX;1958;542
1;MAX;1959;590
1;MAX;1960;511
1;MAX;1961;521
1;MAX;1962;447
1;MAX;1963;439
1;MAX;1964;438
1;MAX;1965;380
1;MAX;1966;312
1;MAX;1967;300
1;MAX;1968;249
1;MAX;1969;251
1;MAX;1970;196
1;MAX;1971;213
1;MAX;1972;175
1;MAX;1973;136
1;MAX;1974;100
1;MAX;1975;102
1;MAX;1976;89
1;MAX;1977;85
1;MAX;1978;82
1;MAX;1979;82
1;MAX;1980;83
1;MAX;1981;92
1;MAX;1982;93
1;MAX;1983;92
1;MAX;1984;68
1;MAX;1985;73
1;MAX;1986;66
1;MAX;1987;68
1;MAX;1988;81
1;MAX;1989;88
1;MAX;1990;105
1;MAX;1991;128
1;MAX;1992;119
1;MAX;1993;163
1;MAX;1994;137
1;MAX;1995;179
1;MAX;1996;184
1;MAX;1997;207
1;MAX;1998;239
1;MAX;1999;213
1;MAX;2000;283
1;MAX;2001;295
1;MAX;2002;381
1;MAX;2003;347
1;MAX;2004;323
1;MAX;2005;304
1;MAX;2006;320
1;MAX;2007;293
1;MAX;2008;307
1;MAX;2009;281
1;MAX;2010;286
1;MAX;2011;293
1;MAX;2012;251
1;MAX;2013;245
1;MAX;2014;250
1;MAX;2015;214
1;MAX;2016;248
1;MAX;2017;211
1;MAX;2018;195
1;MAX;2019;233
1;MAX;2020;189
1;MAX;2021;156
1;MAX;2022;170
