sexe;preusuel;annais;nombre
2;SYRIELLE;1983;3
2;SYRIELLE;1987;3
2;SYRIELLE;1988;3
2;SYRIELLE;1992;5
2;SYRIELLE;1993;3
2;SYRIELLE;1995;10
2;SYRIELLE;1996;6
2;SYRIELLE;1997;6
2;SYRIELLE;1998;4
2;SYRIELLE;1999;5
2;SYRIELLE;2000;7
2;SYRIELLE;2001;15
2;SYRIELLE;2002;14
2;SYRIELLE;2003;23
2;SYRIELLE;2004;22
2;SYRIELLE;2005;15
2;SYRIELLE;2006;19
2;SYRIELLE;2007;28
2;SYRIELLE;2008;29
2;SYRIELLE;2009;32
2;SYRIELLE;2010;19
2;SYRIELLE;2011;16
2;SYRIELLE;2012;20
2;SYRIELLE;2013;17
2;SYRIELLE;2014;11
2;SYRIELLE;2015;11
2;SYRIELLE;2016;5
2;SYRIELLE;2017;6
2;SYRIELLE;2018;4
2;SYRIELLE;2019;6
2;SYRIELLE;2020;5
2;SYRIELLE;2021;3
2;SYRIELLE;XXXX;13
