sexe;preusuel;annais;nombre
1;HAYDAR;1978;3
1;HAYDAR;1979;4
1;HAYDAR;1980;3
1;HAYDAR;1981;6
1;HAYDAR;1982;4
1;HAYDAR;1983;4
1;HAYDAR;1984;4
1;HAYDAR;1985;5
1;HAYDAR;1986;3
1;HAYDAR;1987;3
1;HAYDAR;1989;4
1;HAYDAR;1991;4
1;HAYDAR;1993;5
1;HAYDAR;1995;3
1;HAYDAR;1998;3
1;HAYDAR;2000;3
1;HAYDAR;2001;3
1;HAYDAR;2002;5
1;HAYDAR;2003;3
1;HAYDAR;2004;3
1;HAYDAR;2005;3
1;HAYDAR;2006;7
1;HAYDAR;2007;7
1;HAYDAR;2008;16
1;HAYDAR;2009;8
1;HAYDAR;2010;6
1;HAYDAR;2011;9
1;HAYDAR;2012;9
1;HAYDAR;2013;11
1;HAYDAR;2014;10
1;HAYDAR;2015;11
1;HAYDAR;2016;4
1;HAYDAR;2017;11
1;HAYDAR;2018;11
1;HAYDAR;2019;12
1;HAYDAR;2020;12
1;HAYDAR;2021;8
1;HAYDAR;2022;13
1;HAYDAR;XXXX;16
