sexe;preusuel;annais;nombre
2;ELEANORE;1992;5
2;ELEANORE;1994;5
2;ELEANORE;1997;5
2;ELEANORE;1998;3
2;ELEANORE;1999;11
2;ELEANORE;2000;10
2;ELEANORE;2001;9
2;ELEANORE;2002;14
2;ELEANORE;2003;25
2;ELEANORE;2004;57
2;ELEANORE;2005;54
2;ELEANORE;2006;61
2;ELEANORE;2007;74
2;ELEANORE;2008;70
2;ELEANORE;2009;63
2;ELEANORE;2010;64
2;ELEANORE;2011;40
2;ELEANORE;2012;18
2;ELEANORE;2013;17
2;ELEANORE;2014;26
2;ELEANORE;2015;16
2;ELEANORE;2016;15
2;ELEANORE;2017;13
2;ELEANORE;2018;6
2;ELEANORE;2019;14
2;ELEANORE;2020;6
2;ELEANORE;2021;13
2;ELEANORE;2022;12
2;ELEANORE;XXXX;17
