sexe;preusuel;annais;nombre
2;ATHENA;1976;4
2;ATHENA;1981;4
2;ATHENA;1982;6
2;ATHENA;1983;6
2;ATHENA;1985;6
2;ATHENA;1986;5
2;ATHENA;1987;5
2;ATHENA;1988;4
2;ATHENA;1989;20
2;ATHENA;1990;18
2;ATHENA;1991;26
2;ATHENA;1992;14
2;ATHENA;1993;10
2;ATHENA;1994;14
2;ATHENA;1995;21
2;ATHENA;1996;20
2;ATHENA;1997;15
2;ATHENA;1998;17
2;ATHENA;1999;28
2;ATHENA;2000;30
2;ATHENA;2001;24
2;ATHENA;2002;36
2;ATHENA;2003;45
2;ATHENA;2004;40
2;ATHENA;2005;45
2;ATHENA;2006;30
2;ATHENA;2007;48
2;ATHENA;2008;50
2;ATHENA;2009;36
2;ATHENA;2010;27
2;ATHENA;2011;20
2;ATHENA;2012;21
2;ATHENA;2013;13
2;ATHENA;2014;28
2;ATHENA;2015;23
2;ATHENA;2016;32
2;ATHENA;2017;33
2;ATHENA;2018;32
2;ATHENA;2019;20
2;ATHENA;2020;30
2;ATHENA;2021;31
2;ATHENA;2022;43
2;ATHENA;XXXX;23
