sexe;preusuel;annais;nombre
1;KAISS;1971;3
1;KAISS;1972;3
1;KAISS;1975;4
1;KAISS;1976;7
1;KAISS;1977;3
1;KAISS;1978;3
1;KAISS;1979;4
1;KAISS;1980;4
1;KAISS;1981;5
1;KAISS;1983;3
1;KAISS;1984;4
1;KAISS;1985;5
1;KAISS;1987;3
1;KAISS;1988;6
1;KAISS;1990;5
1;KAISS;1991;3
1;KAISS;1994;4
1;KAISS;1996;4
1;KAISS;1998;5
1;KAISS;1999;11
1;KAISS;2000;14
1;KAISS;2001;20
1;KAISS;2002;21
1;KAISS;2003;22
1;KAISS;2004;35
1;KAISS;2005;38
1;KAISS;2006;45
1;KAISS;2007;61
1;KAISS;2008;58
1;KAISS;2009;79
1;KAISS;2010;50
1;KAISS;2011;35
1;KAISS;2012;18
1;KAISS;2013;10
1;KAISS;2014;14
1;KAISS;2015;11
1;KAISS;2016;11
1;KAISS;2017;8
1;KAISS;2018;5
1;KAISS;2019;4
1;KAISS;2020;4
1;KAISS;2021;3
1;KAISS;2022;9
1;KAISS;XXXX;15
