sexe;preusuel;annais;nombre
1;STEEVY;1979;4
1;STEEVY;1982;6
1;STEEVY;1983;3
1;STEEVY;1984;3
1;STEEVY;1985;8
1;STEEVY;1986;3
1;STEEVY;1987;10
1;STEEVY;1988;11
1;STEEVY;1989;8
1;STEEVY;1990;16
1;STEEVY;1991;18
1;STEEVY;1992;19
1;STEEVY;1993;20
1;STEEVY;1994;18
1;STEEVY;1995;22
1;STEEVY;1996;20
1;STEEVY;1997;18
1;STEEVY;1998;22
1;STEEVY;1999;17
1;STEEVY;2000;14
1;STEEVY;2001;171
1;STEEVY;2002;78
1;STEEVY;2003;46
1;STEEVY;2004;33
1;STEEVY;2005;20
1;STEEVY;2006;15
1;STEEVY;2007;11
1;STEEVY;2008;14
1;STEEVY;2009;11
1;STEEVY;2010;8
1;STEEVY;2011;7
1;STEEVY;2012;3
1;STEEVY;2013;3
1;STEEVY;2014;3
1;STEEVY;2015;5
1;STEEVY;2016;4
1;STEEVY;2017;6
1;STEEVY;2019;5
1;STEEVY;XXXX;14
