sexe;preusuel;annais;nombre
1;HOSNI;1969;3
1;HOSNI;1970;3
1;HOSNI;1971;4
1;HOSNI;1972;5
1;HOSNI;1975;3
1;HOSNI;1976;3
1;HOSNI;1977;4
1;HOSNI;1978;5
1;HOSNI;1979;8
1;HOSNI;1980;6
1;HOSNI;1981;10
1;HOSNI;1982;15
1;HOSNI;1983;13
1;HOSNI;1984;5
1;HOSNI;1985;10
1;HOSNI;1986;11
1;HOSNI;1987;10
1;HOSNI;1988;9
1;HOSNI;1989;7
1;HOSNI;1990;8
1;HOSNI;1991;4
1;HOSNI;1992;6
1;HOSNI;1993;5
1;HOSNI;1994;3
1;HOSNI;1995;7
1;HOSNI;1996;7
1;HOSNI;1999;3
1;HOSNI;2000;5
1;HOSNI;2001;6
1;HOSNI;2002;3
1;HOSNI;2003;3
1;HOSNI;2004;4
1;HOSNI;2006;3
1;HOSNI;2007;3
1;HOSNI;2008;3
1;HOSNI;2009;5
1;HOSNI;2010;6
1;HOSNI;2012;4
1;HOSNI;2013;7
1;HOSNI;2014;5
1;HOSNI;2015;8
1;HOSNI;2016;4
1;HOSNI;2017;5
1;HOSNI;2018;4
1;HOSNI;2019;3
1;HOSNI;2020;8
1;HOSNI;2022;3
1;HOSNI;XXXX;17
