sexe;preusuel;annais;nombre
2;MELODIE;1903;3
2;MELODIE;1921;4
2;MELODIE;1972;4
2;MELODIE;1973;3
2;MELODIE;1974;9
2;MELODIE;1975;9
2;MELODIE;1976;14
2;MELODIE;1977;15
2;MELODIE;1978;36
2;MELODIE;1979;48
2;MELODIE;1980;73
2;MELODIE;1981;96
2;MELODIE;1982;147
2;MELODIE;1983;122
2;MELODIE;1984;113
2;MELODIE;1985;104
2;MELODIE;1986;186
2;MELODIE;1987;294
2;MELODIE;1988;834
2;MELODIE;1989;666
2;MELODIE;1990;933
2;MELODIE;1991;857
2;MELODIE;1992;722
2;MELODIE;1993;447
2;MELODIE;1994;433
2;MELODIE;1995;488
2;MELODIE;1996;349
2;MELODIE;1997;259
2;MELODIE;1998;279
2;MELODIE;1999;287
2;MELODIE;2000;298
2;MELODIE;2001;377
2;MELODIE;2002;282
2;MELODIE;2003;265
2;MELODIE;2004;240
2;MELODIE;2005;203
2;MELODIE;2006;190
2;MELODIE;2007;180
2;MELODIE;2008;174
2;MELODIE;2009;204
2;MELODIE;2010;172
2;MELODIE;2011;83
2;MELODIE;2012;32
2;MELODIE;2013;17
2;MELODIE;2014;21
2;MELODIE;2015;20
2;MELODIE;2016;22
2;MELODIE;2017;11
2;MELODIE;2018;4
2;MELODIE;2019;6
2;MELODIE;2020;3
2;MELODIE;XXXX;46
