sexe;preusuel;annais;nombre
2;DONNA;1946;3
2;DONNA;1952;3
2;DONNA;1953;8
2;DONNA;1954;14
2;DONNA;1955;12
2;DONNA;1956;29
2;DONNA;1957;27
2;DONNA;1958;21
2;DONNA;1959;21
2;DONNA;1960;29
2;DONNA;1961;13
2;DONNA;1962;18
2;DONNA;1963;17
2;DONNA;1964;11
2;DONNA;1965;13
2;DONNA;1966;6
2;DONNA;1976;3
2;DONNA;1977;4
2;DONNA;1978;4
2;DONNA;1983;5
2;DONNA;1984;9
2;DONNA;1985;6
2;DONNA;1986;5
2;DONNA;1987;12
2;DONNA;1988;8
2;DONNA;1989;6
2;DONNA;1990;8
2;DONNA;1991;11
2;DONNA;1992;16
2;DONNA;1993;9
2;DONNA;1994;14
2;DONNA;1995;28
2;DONNA;1996;20
2;DONNA;1997;17
2;DONNA;1998;18
2;DONNA;1999;25
2;DONNA;2000;18
2;DONNA;2001;19
2;DONNA;2002;12
2;DONNA;2003;9
2;DONNA;2004;8
2;DONNA;2005;16
2;DONNA;2006;10
2;DONNA;2007;16
2;DONNA;2008;12
2;DONNA;2009;11
2;DONNA;2010;6
2;DONNA;2011;12
2;DONNA;2012;7
2;DONNA;2013;8
2;DONNA;2015;7
2;DONNA;2016;5
2;DONNA;2017;6
2;DONNA;2018;3
2;DONNA;2019;6
2;DONNA;2020;8
2;DONNA;2021;5
2;DONNA;2022;5
2;DONNA;XXXX;10
