sexe;preusuel;annais;nombre
1;JEAN;1935;32690
2;MARIE;1935;23544
1;MICHEL;1935;15749
1;PIERRE;1935;14154
1;ANDRÉ;1935;13989
1;CLAUDE;1935;13013
2;MONIQUE;1935;11839
1;JACQUES;1935;10899
2;JACQUELINE;1935;10810
1;RENÉ;1935;9965
2;JEANNINE;1935;8730
1;ROGER;1935;8683
1;ROBERT;1935;8039
1;BERNARD;1935;7949
1;MARCEL;1935;7547
1;GUY;1935;6603
2;DENISE;1935;6559
1;GEORGES;1935;6509
2;YVETTE;1935;6465
1;MAURICE;1935;6130
1;HENRI;1935;5986
1;GÉRARD;1935;5840
2;NICOLE;1935;5833
2;JEANNE;1935;5777
1;LOUIS;1935;5662
2;PAULETTE;1935;5611
1;JOSEPH;1935;5372
2;CHRISTIANE;1935;5337
2;SIMONE;1935;5310
2;JOSETTE;1935;5302
1;RAYMOND;1935;5217
1;PAUL;1935;5069
2;COLETTE;1935;5031
2;GINETTE;1935;4992
2;MADELEINE;1935;4606
2;ANDRÉE;1935;4545
2;THÉRÈSE;1935;4432
2;ODETTE;1935;4396
2;SUZANNE;1935;4243
2;RENÉE;1935;4044
1;GILBERT;1935;4011
2;FRANÇOISE;1935;3812
1;YVES;1935;3765
1;DANIEL;1935;3750
2;ANNE;1935;3726
2;MICHELINE;1935;3645
1;FRANÇOIS;1935;3606
1;LUCIEN;1935;3447
2;YVONNE;1935;3361
2;GISÈLE;1935;3316
2;MARCELLE;1935;3239
1;SERGE;1935;3227
2;GENEVIÈVE;1935;3142
1;ALBERT;1935;3115
2;BERNADETTE;1935;3109
2;ARLETTE;1935;3108
2;LILIANE;1935;3084
2;RAYMONDE;1935;3020
2;HUGUETTE;1935;2987
1;ROLAND;1935;2832
2;HÉLÈNE;1935;2773
2;MARGUERITE;1935;2750
2;MICHELLE;1935;2725
1;CHRISTIAN;1935;2632
2;LUCIENNE;1935;2591
2;ELIANE;1935;2577
2;GEORGETTE;1935;2531
2;PIERRETTE;1935;2446
1;CHARLES;1935;2357
2;JANINE;1935;2312
2;LUCETTE;1935;2294
2;_PRENOMS_RARES;1935;2073
2;GERMAINE;1935;1925
2;SOLANGE;1935;1912
1;EMILE;1935;1873
1;FRANCIS;1935;1860
2;JEANINE;1935;1805
1;_PRENOMS_RARES;1935;1785
2;LOUISE;1935;1709
1;ALAIN;1935;1689
2;IRÈNE;1935;1677
1;FERNAND;1935;1668
1;MARC;1935;1652
2;JOSIANE;1935;1578
2;CLAUDINE;1935;1566
2;MAURICETTE;1935;1563
2;HENRIETTE;1935;1534
2;CLAUDE;1935;1527
2;CLAUDETTE;1935;1518
1;ANTOINE;1935;1496
2;MIREILLE;1935;1457
2;SIMONNE;1935;1400
2;MARIE-THÉRÈSE;1935;1390
2;ODILE;1935;1364
2;MICHÈLE;1935;1332
2;ALICE;1935;1259
2;FRANCINE;1935;1248
1;HUBERT;1935;1238
2;GILBERTE;1935;1189
2;ANNICK;1935;1179
1;GABRIEL;1935;1178
1;LÉON;1935;1157
2;MARTHE;1935;1139
1;PHILIPPE;1935;1097
1;GASTON;1935;1088
1;EUGÈNE;1935;1075
2;ANNIE;1935;1065
2;ROLANDE;1935;1036
2;ANTOINETTE;1935;1014
1;JEAN-CLAUDE;1935;996
2;YOLANDE;1935;985
2;FERNANDE;1935;945
2;ROSE;1935;939
2;CÉCILE;1935;907
2;MARYSE;1935;878
2;MARIA;1935;867
2;JULIETTE;1935;866
1;JEAN-PIERRE;1935;841
1;EDMOND;1935;837
1;ARMAND;1935;833
2;LUCIE;1935;801
2;GABRIELLE;1935;794
1;ALFRED;1935;780
2;ANNA;1935;760
2;PAULE;1935;744
1;EDOUARD;1935;743
1;ETIENNE;1935;743
1;DENIS;1935;729
1;AUGUSTE;1935;714
2;JOSEPHINE;1935;712
1;JULIEN;1935;705
2;ANNE-MARIE;1935;691
1;CAMILLE;1935;682
1;YVON;1935;679
2;ELISABETH;1935;679
2;ELISE;1935;679
1;VICTOR;1935;666
1;NOËL;1935;663
2;ANGÈLE;1935;657
1;MAX;1935;646
2;RÉGINE;1935;634
2;EDITH;1935;620
1;JULES;1935;599
2;JEANNETTE;1935;598
2;REINE;1935;594
2;DANIELE;1935;592
2;LOUISETTE;1935;574
2;MARIE-LOUISE;1935;574
1;RÉMY;1935;551
2;ANNETTE;1935;551
1;ERNEST;1935;547
1;MARIUS;1935;547
2;DANIELLE;1935;546
1;AIME;1935;545
2;AGNÈS;1935;536
2;ALINE;1935;529
2;BERTHE;1935;517
2;EMILIENNE;1935;511
2;CLAIRE;1935;510
1;ALEXANDRE;1935;509
1;GILLES;1935;506
2;CATHERINE;1935;479
2;GHISLAINE;1935;471
1;JEAN-MARIE;1935;467
2;NELLY;1935;463
2;JOCELYNE;1935;458
2;NICOLLE;1935;456
1;FÉLIX;1935;454
1;ALPHONSE;1935;447
2;LÉONE;1935;436
2;CHANTAL;1935;426
2;MARINETTE;1935;426
1;ELIE;1935;425
1;GERMAIN;1935;422
1;DOMINIQUE;1935;406
1;JOËL;1935;405
1;NORBERT;1935;395
2;CHARLOTTE;1935;388
1;RÉMI;1935;386
1;HERVÉ;1935;364
1;JACKIE;1935;359
1;LAURENT;1935;359
2;EUGÉNIE;1935;359
2;AIMÉE;1935;350
1;RAOUL;1935;349
2;LYDIE;1935;348
2;EVELINE;1935;347
1;ADRIEN;1935;341
2;BRIGITTE;1935;341
2;EVELYNE;1935;326
2;CARMEN;1935;324
2;LÉA;1935;323
1;RICHARD;1935;319
2;NOËLLE;1935;315
1;JACKY;1935;314
2;FRANCE;1935;314
1;JACK;1935;312
1;BRUNO;1935;311
2;MARYVONNE;1935;311
2;ADRIENNE;1935;307
1;REGIS;1935;301
1;CLÉMENT;1935;297
2;ROBERTE;1935;297
2;JULIENNE;1935;292
1;GUSTAVE;1935;290
2;ISABELLE;1935;290
1;VINCENT;1935;288
2;SYLVIANE;1935;284
1;MAXIME;1935;279
1;SIMON;1935;277
1;STANISLAS;1935;275
2;CAMILLE;1935;273
2;OLGA;1935;273
2;VIOLETTE;1935;266
2;BLANCHE;1935;264
2;NADINE;1935;264
1;MARTIAL;1935;261
2;MATHILDE;1935;261
1;JAMES;1935;247
1;YVAN;1935;247
2;CHRISTIANNE;1935;246
2;ALBERTINE;1935;234
1;LIONEL;1935;232
2;VIVIANE;1935;229
1;JOSÉ;1935;227
1;MARIE;1935;224
2;ROSELINE;1935;224
2;PAULINE;1935;221
2;ANNY;1935;218
1;WILLIAM;1935;217
1;ABEL;1935;216
1;EMMANUEL;1935;215
2;ALBERTE;1935;211
1;DIDIER;1935;209
1;ARTHUR;1935;204
1;JEAN-PAUL;1935;202
2;IDA;1935;202
2;CÉLINE;1935;201
1;DÉSIRÉ;1935;200
1;NICOLAS;1935;200
