sexe;preusuel;annais;nombre
2;MORGANE;1952;3
2;MORGANE;1958;3
2;MORGANE;1959;5
2;MORGANE;1960;3
2;MORGANE;1961;4
2;MORGANE;1962;6
2;MORGANE;1963;5
2;MORGANE;1964;4
2;MORGANE;1965;9
2;MORGANE;1966;12
2;MORGANE;1967;32
2;MORGANE;1968;24
2;MORGANE;1969;48
2;MORGANE;1970;87
2;MORGANE;1971;166
2;MORGANE;1972;228
2;MORGANE;1973;319
2;MORGANE;1974;352
2;MORGANE;1975;419
2;MORGANE;1976;422
2;MORGANE;1977;535
2;MORGANE;1978;494
2;MORGANE;1979;595
2;MORGANE;1980;567
2;MORGANE;1981;590
2;MORGANE;1982;553
2;MORGANE;1983;732
2;MORGANE;1984;1031
2;MORGANE;1985;1339
2;MORGANE;1986;1807
2;MORGANE;1987;1945
2;MORGANE;1988;2539
2;MORGANE;1989;2775
2;MORGANE;1990;3021
2;MORGANE;1991;3422
2;MORGANE;1992;3533
2;MORGANE;1993;3658
2;MORGANE;1994;3376
2;MORGANE;1995;3483
2;MORGANE;1996;3596
2;MORGANE;1997;3486
2;MORGANE;1998;3450
2;MORGANE;1999;3298
2;MORGANE;2000;2947
2;MORGANE;2001;2509
2;MORGANE;2002;2150
2;MORGANE;2003;2079
2;MORGANE;2004;2144
2;MORGANE;2005;1730
2;MORGANE;2006;1407
2;MORGANE;2007;1204
2;MORGANE;2008;1046
2;MORGANE;2009;911
2;MORGANE;2010;831
2;MORGANE;2011;746
2;MORGANE;2012;643
2;MORGANE;2013;542
2;MORGANE;2014;442
2;MORGANE;2015;396
2;MORGANE;2016;333
2;MORGANE;2017;277
2;MORGANE;2018;216
2;MORGANE;2019;193
2;MORGANE;2020;173
2;MORGANE;2021;148
2;MORGANE;2022;118
2;MORGANE;XXXX;13
