sexe;preusuel;annais;nombre
2;ESTHER;1900;155
2;ESTHER;1901;147
2;ESTHER;1902;146
2;ESTHER;1903;146
2;ESTHER;1904;157
2;ESTHER;1905;164
2;ESTHER;1906;189
2;ESTHER;1907;141
2;ESTHER;1908;114
2;ESTHER;1909;142
2;ESTHER;1910;142
2;ESTHER;1911;141
2;ESTHER;1912;115
2;ESTHER;1913;133
2;ESTHER;1914;130
2;ESTHER;1915;74
2;ESTHER;1916;64
2;ESTHER;1917;76
2;ESTHER;1918;69
2;ESTHER;1919;66
2;ESTHER;1920;110
2;ESTHER;1921;115
2;ESTHER;1922;96
2;ESTHER;1923;90
2;ESTHER;1924;101
2;ESTHER;1925;121
2;ESTHER;1926;110
2;ESTHER;1927;84
2;ESTHER;1928;85
2;ESTHER;1929;82
2;ESTHER;1930;109
2;ESTHER;1931;74
2;ESTHER;1932;67
2;ESTHER;1933;78
2;ESTHER;1934;68
2;ESTHER;1935;58
2;ESTHER;1936;57
2;ESTHER;1937;53
2;ESTHER;1938;36
2;ESTHER;1939;33
2;ESTHER;1940;38
2;ESTHER;1941;20
2;ESTHER;1942;30
2;ESTHER;1943;14
2;ESTHER;1944;16
2;ESTHER;1945;25
2;ESTHER;1946;25
2;ESTHER;1947;41
2;ESTHER;1948;54
2;ESTHER;1949;76
2;ESTHER;1950;60
2;ESTHER;1951;46
2;ESTHER;1952;66
2;ESTHER;1953;46
2;ESTHER;1954;64
2;ESTHER;1955;65
2;ESTHER;1956;70
2;ESTHER;1957;62
2;ESTHER;1958;56
2;ESTHER;1959;79
2;ESTHER;1960;79
2;ESTHER;1961;83
2;ESTHER;1962;104
2;ESTHER;1963;119
2;ESTHER;1964;112
2;ESTHER;1965;102
2;ESTHER;1966;118
2;ESTHER;1967;142
2;ESTHER;1968;165
2;ESTHER;1969;188
2;ESTHER;1970;235
2;ESTHER;1971;243
2;ESTHER;1972;240
2;ESTHER;1973;265
2;ESTHER;1974;194
2;ESTHER;1975;178
2;ESTHER;1976;183
2;ESTHER;1977;192
2;ESTHER;1978;170
2;ESTHER;1979;176
2;ESTHER;1980;201
2;ESTHER;1981;141
2;ESTHER;1982;148
2;ESTHER;1983;154
2;ESTHER;1984;161
2;ESTHER;1985;147
2;ESTHER;1986;156
2;ESTHER;1987;172
2;ESTHER;1988;185
2;ESTHER;1989;223
2;ESTHER;1990;263
2;ESTHER;1991;299
2;ESTHER;1992;249
2;ESTHER;1993;224
2;ESTHER;1994;229
2;ESTHER;1995;296
2;ESTHER;1996;283
2;ESTHER;1997;261
2;ESTHER;1998;311
2;ESTHER;1999;296
2;ESTHER;2000;276
2;ESTHER;2001;276
2;ESTHER;2002;262
2;ESTHER;2003;272
2;ESTHER;2004;286
2;ESTHER;2005;330
2;ESTHER;2006;336
2;ESTHER;2007;332
2;ESTHER;2008;317
2;ESTHER;2009;310
2;ESTHER;2010;265
2;ESTHER;2011;243
2;ESTHER;2012;218
2;ESTHER;2013;197
2;ESTHER;2014;213
2;ESTHER;2015;200
2;ESTHER;2016;229
2;ESTHER;2017;224
2;ESTHER;2018;201
2;ESTHER;2019;220
2;ESTHER;2020;219
2;ESTHER;2021;197
2;ESTHER;2022;221
