sexe;preusuel;annais;nombre
1;GURKAN;1977;4
1;GURKAN;1978;5
1;GURKAN;1980;3
1;GURKAN;1981;4
1;GURKAN;1982;3
1;GURKAN;1986;4
1;GURKAN;1987;5
1;GURKAN;1988;4
1;GURKAN;1989;3
1;GURKAN;1990;3
1;GURKAN;1991;3
1;GURKAN;1992;4
1;GURKAN;1993;4
1;GURKAN;1994;5
1;GURKAN;1995;8
1;GURKAN;1996;3
1;GURKAN;1997;3
1;GURKAN;1998;5
1;GURKAN;1999;5
1;GURKAN;2000;5
1;GURKAN;2001;7
1;GURKAN;2002;6
1;GURKAN;2003;5
1;GURKAN;2004;4
1;GURKAN;2005;12
1;GURKAN;2006;13
1;GURKAN;2007;14
1;GURKAN;2008;4
1;GURKAN;2009;8
1;GURKAN;2010;9
1;GURKAN;2011;3
1;GURKAN;2014;3
1;GURKAN;XXXX;14
