sexe;preusuel;annais;nombre
1;JAIME;1908;6
1;JAIME;1913;3
1;JAIME;1915;3
1;JAIME;1916;3
1;JAIME;1917;3
1;JAIME;1918;4
1;JAIME;1919;3
1;JAIME;1920;3
1;JAIME;1921;9
1;JAIME;1922;4
1;JAIME;1923;3
1;JAIME;1924;6
1;JAIME;1925;7
1;JAIME;1926;4
1;JAIME;1927;7
1;JAIME;1928;7
1;JAIME;1929;7
1;JAIME;1930;5
1;JAIME;1931;6
1;JAIME;1932;6
1;JAIME;1933;4
1;JAIME;1934;6
1;JAIME;1935;4
1;JAIME;1937;3
1;JAIME;1938;4
1;JAIME;1939;13
1;JAIME;1941;8
1;JAIME;1942;7
1;JAIME;1944;5
1;JAIME;1945;5
1;JAIME;1946;12
1;JAIME;1947;4
1;JAIME;1948;12
1;JAIME;1949;10
1;JAIME;1950;13
1;JAIME;1951;11
1;JAIME;1952;4
1;JAIME;1953;6
1;JAIME;1954;4
1;JAIME;1955;4
1;JAIME;1956;9
1;JAIME;1957;7
1;JAIME;1958;11
1;JAIME;1959;8
1;JAIME;1960;13
1;JAIME;1961;6
1;JAIME;1962;13
1;JAIME;1963;23
1;JAIME;1964;13
1;JAIME;1965;24
1;JAIME;1966;17
1;JAIME;1967;28
1;JAIME;1968;22
1;JAIME;1969;24
1;JAIME;1970;31
1;JAIME;1971;29
1;JAIME;1972;43
1;JAIME;1973;20
1;JAIME;1974;21
1;JAIME;1975;23
1;JAIME;1976;18
1;JAIME;1977;13
1;JAIME;1978;11
1;JAIME;1979;12
1;JAIME;1980;7
1;JAIME;1981;12
1;JAIME;1982;17
1;JAIME;1983;10
1;JAIME;1984;8
1;JAIME;1985;3
1;JAIME;1986;8
1;JAIME;1987;5
1;JAIME;1989;5
1;JAIME;1990;6
1;JAIME;1991;7
1;JAIME;1992;7
1;JAIME;1993;4
1;JAIME;1994;8
1;JAIME;1995;7
1;JAIME;1996;7
1;JAIME;1997;6
1;JAIME;1998;12
1;JAIME;1999;3
1;JAIME;2000;4
1;JAIME;2001;9
1;JAIME;2002;4
1;JAIME;2003;5
1;JAIME;2004;5
1;JAIME;2005;8
1;JAIME;2006;8
1;JAIME;2007;7
1;JAIME;2008;6
1;JAIME;2009;6
1;JAIME;2010;4
1;JAIME;2011;5
1;JAIME;2012;3
1;JAIME;2013;6
1;JAIME;2014;5
1;JAIME;2015;3
1;JAIME;2017;5
1;JAIME;2018;8
1;JAIME;2019;5
1;JAIME;2020;6
1;JAIME;2022;6
1;JAIME;XXXX;21
