sexe;preusuel;annais;nombre
1;BASIL;1985;3
1;BASIL;1986;3
1;BASIL;1987;4
1;BASIL;1988;3
1;BASIL;1989;6
1;BASIL;1990;4
1;BASIL;1991;5
1;BASIL;1992;4
1;BASIL;1993;5
1;BASIL;1994;9
1;BASIL;1995;7
1;BASIL;1996;12
1;BASIL;1997;9
1;BASIL;1998;25
1;BASIL;1999;14
1;BASIL;2000;13
1;BASIL;2001;14
1;BASIL;2002;10
1;BASIL;2003;15
1;BASIL;2004;19
1;BASIL;2005;22
1;BASIL;2006;12
1;BASIL;2007;13
1;BASIL;2008;18
1;BASIL;2009;10
1;BASIL;2010;18
1;BASIL;2011;30
1;BASIL;2012;21
1;BASIL;2013;12
1;BASIL;2014;20
1;BASIL;2015;14
1;BASIL;2016;23
1;BASIL;2017;20
1;BASIL;2018;13
1;BASIL;2019;15
1;BASIL;2020;26
1;BASIL;2021;23
1;BASIL;2022;17
1;BASIL;XXXX;16
