sexe;preusuel;annais;nombre
1;LILLIAN;1967;3
1;LILLIAN;1970;3
1;LILLIAN;1972;3
1;LILLIAN;1973;3
1;LILLIAN;1974;5
1;LILLIAN;1995;4
1;LILLIAN;1996;5
1;LILLIAN;1997;7
1;LILLIAN;1998;10
1;LILLIAN;1999;15
1;LILLIAN;2000;7
1;LILLIAN;2001;8
1;LILLIAN;2002;7
1;LILLIAN;2003;15
1;LILLIAN;2004;13
1;LILLIAN;2005;26
1;LILLIAN;2006;29
1;LILLIAN;2007;13
1;LILLIAN;2008;17
1;LILLIAN;2009;13
1;LILLIAN;2010;8
1;LILLIAN;2011;6
1;LILLIAN;2012;4
1;LILLIAN;2013;4
1;LILLIAN;2014;5
1;LILLIAN;2015;3
1;LILLIAN;2016;3
1;LILLIAN;XXXX;36
