sexe;preusuel;annais;nombre
2;GUILA;1969;4
2;GUILA;1972;3
2;GUILA;1976;4
2;GUILA;1978;3
2;GUILA;1982;3
2;GUILA;1983;3
2;GUILA;1985;3
2;GUILA;1986;3
2;GUILA;1987;3
2;GUILA;1988;4
2;GUILA;1989;6
2;GUILA;1990;3
2;GUILA;1993;5
2;GUILA;1994;6
2;GUILA;1995;4
2;GUILA;1997;6
2;GUILA;1998;4
2;GUILA;1999;3
2;GUILA;2000;8
2;GUILA;2001;3
2;GUILA;2002;4
2;GUILA;2003;4
2;GUILA;2004;7
2;GUILA;2005;3
2;GUILA;2007;4
2;GUILA;2008;3
2;GUILA;2011;8
2;GUILA;2012;4
2;GUILA;2013;5
2;GUILA;2014;5
2;GUILA;2017;4
2;GUILA;2018;8
2;GUILA;2020;3
2;GUILA;XXXX;30
