sexe;preusuel;annais;nombre
2;NOHA;1979;4
2;NOHA;1980;6
2;NOHA;1981;8
2;NOHA;1982;5
2;NOHA;1983;4
2;NOHA;1984;3
2;NOHA;1985;5
2;NOHA;1986;4
2;NOHA;1987;3
2;NOHA;1988;3
2;NOHA;1992;4
2;NOHA;1993;5
2;NOHA;1994;8
2;NOHA;1995;4
2;NOHA;1996;5
2;NOHA;1997;11
2;NOHA;1998;7
2;NOHA;1999;9
2;NOHA;2000;15
2;NOHA;2001;22
2;NOHA;2002;27
2;NOHA;2003;25
2;NOHA;2004;37
2;NOHA;2005;43
2;NOHA;2006;47
2;NOHA;2007;44
2;NOHA;2008;38
2;NOHA;2009;44
2;NOHA;2010;39
2;NOHA;2011;34
2;NOHA;2012;23
2;NOHA;2013;25
2;NOHA;2014;26
2;NOHA;2015;31
2;NOHA;2016;30
2;NOHA;2017;23
2;NOHA;2018;17
2;NOHA;2019;8
2;NOHA;2020;15
2;NOHA;2021;23
2;NOHA;2022;17
2;NOHA;XXXX;15
