sexe;preusuel;annais;nombre
1;ILHAN;1976;4
1;ILHAN;1977;8
1;ILHAN;1978;3
1;ILHAN;1979;7
1;ILHAN;1980;7
1;ILHAN;1981;3
1;ILHAN;1982;5
1;ILHAN;1983;5
1;ILHAN;1984;5
1;ILHAN;1986;10
1;ILHAN;1987;6
1;ILHAN;1988;5
1;ILHAN;1989;3
1;ILHAN;1990;7
1;ILHAN;1991;7
1;ILHAN;1992;7
1;ILHAN;1993;4
1;ILHAN;1994;11
1;ILHAN;1995;7
1;ILHAN;1996;11
1;ILHAN;1997;12
1;ILHAN;1998;16
1;ILHAN;1999;17
1;ILHAN;2000;23
1;ILHAN;2001;29
1;ILHAN;2002;145
1;ILHAN;2003;140
1;ILHAN;2004;157
1;ILHAN;2005;163
1;ILHAN;2006;206
1;ILHAN;2007;283
1;ILHAN;2008;273
1;ILHAN;2009;255
1;ILHAN;2010;289
1;ILHAN;2011;316
1;ILHAN;2012;279
1;ILHAN;2013;269
1;ILHAN;2014;220
1;ILHAN;2015;207
1;ILHAN;2016;199
1;ILHAN;2017;212
1;ILHAN;2018;186
1;ILHAN;2019;176
1;ILHAN;2020;129
1;ILHAN;2021;106
1;ILHAN;2022;87
1;ILHAN;XXXX;7
