sexe;preusuel;annais;nombre
1;GAUTIER;1903;3
1;GAUTIER;1911;4
1;GAUTIER;1913;3
1;GAUTIER;1915;4
1;GAUTIER;1916;6
1;GAUTIER;1917;6
1;GAUTIER;1919;4
1;GAUTIER;1923;3
1;GAUTIER;1924;3
1;GAUTIER;1927;4
1;GAUTIER;1935;3
1;GAUTIER;1957;3
1;GAUTIER;1961;6
1;GAUTIER;1962;4
1;GAUTIER;1963;4
1;GAUTIER;1964;8
1;GAUTIER;1965;9
1;GAUTIER;1966;6
1;GAUTIER;1967;6
1;GAUTIER;1968;12
1;GAUTIER;1969;18
1;GAUTIER;1970;11
1;GAUTIER;1971;30
1;GAUTIER;1972;33
1;GAUTIER;1973;57
1;GAUTIER;1974;58
1;GAUTIER;1975;75
1;GAUTIER;1976;95
1;GAUTIER;1977;95
1;GAUTIER;1978;105
1;GAUTIER;1979;108
1;GAUTIER;1980;134
1;GAUTIER;1981;142
1;GAUTIER;1982;127
1;GAUTIER;1983;130
1;GAUTIER;1984;196
1;GAUTIER;1985;185
1;GAUTIER;1986;226
1;GAUTIER;1987;253
1;GAUTIER;1988;292
1;GAUTIER;1989;290
1;GAUTIER;1990;329
1;GAUTIER;1991;278
1;GAUTIER;1992;300
1;GAUTIER;1993;296
1;GAUTIER;1994;314
1;GAUTIER;1995;270
1;GAUTIER;1996;332
1;GAUTIER;1997;334
1;GAUTIER;1998;344
1;GAUTIER;1999;282
1;GAUTIER;2000;320
1;GAUTIER;2001;269
1;GAUTIER;2002;257
1;GAUTIER;2003;225
1;GAUTIER;2004;185
1;GAUTIER;2005;161
1;GAUTIER;2006;168
1;GAUTIER;2007;130
1;GAUTIER;2008;114
1;GAUTIER;2009;118
1;GAUTIER;2010;117
1;GAUTIER;2011;99
1;GAUTIER;2012;113
1;GAUTIER;2013;120
1;GAUTIER;2014;102
1;GAUTIER;2015;105
1;GAUTIER;2016;85
1;GAUTIER;2017;85
1;GAUTIER;2018;45
1;GAUTIER;2019;51
1;GAUTIER;2020;49
1;GAUTIER;2021;39
1;GAUTIER;2022;39
1;GAUTIER;XXXX;48
