sexe;preusuel;annais;nombre
2;EMIE;1985;5
2;EMIE;1986;7
2;EMIE;1987;17
2;EMIE;1988;12
2;EMIE;1989;26
2;EMIE;1990;13
2;EMIE;1991;25
2;EMIE;1992;34
2;EMIE;1993;24
2;EMIE;1994;19
2;EMIE;1995;37
2;EMIE;1996;23
2;EMIE;1997;38
2;EMIE;1998;39
2;EMIE;1999;59
2;EMIE;2000;85
2;EMIE;2001;83
2;EMIE;2002;96
2;EMIE;2003;147
2;EMIE;2004;114
2;EMIE;2005;155
2;EMIE;2006;185
2;EMIE;2007;224
2;EMIE;2008;267
2;EMIE;2009;259
2;EMIE;2010;195
2;EMIE;2011;201
2;EMIE;2012;180
2;EMIE;2013;148
2;EMIE;2014;146
2;EMIE;2015;145
2;EMIE;2016;124
2;EMIE;2017;111
2;EMIE;2018;105
2;EMIE;2019;87
2;EMIE;2020;98
2;EMIE;2021;188
2;EMIE;2022;135
2;EMIE;XXXX;11
