sexe;preusuel;annais;nombre
1;JEAN-POL;1938;4
1;JEAN-POL;1939;4
1;JEAN-POL;1940;3
1;JEAN-POL;1942;9
1;JEAN-POL;1943;7
1;JEAN-POL;1944;8
1;JEAN-POL;1945;12
1;JEAN-POL;1946;41
1;JEAN-POL;1947;26
1;JEAN-POL;1948;30
1;JEAN-POL;1949;33
1;JEAN-POL;1950;39
1;JEAN-POL;1951;18
1;JEAN-POL;1952;25
1;JEAN-POL;1953;17
1;JEAN-POL;1954;13
1;JEAN-POL;1955;19
1;JEAN-POL;1956;21
1;JEAN-POL;1957;22
1;JEAN-POL;1958;16
1;JEAN-POL;1959;29
1;JEAN-POL;1960;9
1;JEAN-POL;1961;14
1;JEAN-POL;1962;14
1;JEAN-POL;1963;5
1;JEAN-POL;1964;11
1;JEAN-POL;1965;5
1;JEAN-POL;1966;9
1;JEAN-POL;1967;5
1;JEAN-POL;1968;6
1;JEAN-POL;1969;3
1;JEAN-POL;1974;4
1;JEAN-POL;XXXX;30
