sexe;preusuel;annais;nombre
2;GUILLAUMETTE;1900;19
2;GUILLAUMETTE;1901;34
2;GUILLAUMETTE;1902;16
2;GUILLAUMETTE;1903;39
2;GUILLAUMETTE;1904;15
2;GUILLAUMETTE;1905;24
2;GUILLAUMETTE;1906;14
2;GUILLAUMETTE;1907;26
2;GUILLAUMETTE;1908;15
2;GUILLAUMETTE;1909;25
2;GUILLAUMETTE;1910;17
2;GUILLAUMETTE;1911;10
2;GUILLAUMETTE;1912;18
2;GUILLAUMETTE;1913;13
2;GUILLAUMETTE;1914;8
2;GUILLAUMETTE;1915;8
2;GUILLAUMETTE;1916;21
2;GUILLAUMETTE;1917;11
2;GUILLAUMETTE;1918;5
2;GUILLAUMETTE;1920;7
2;GUILLAUMETTE;1921;4
2;GUILLAUMETTE;1922;5
2;GUILLAUMETTE;1923;3
2;GUILLAUMETTE;1924;3
2;GUILLAUMETTE;1925;6
2;GUILLAUMETTE;1926;3
2;GUILLAUMETTE;1928;6
2;GUILLAUMETTE;1929;3
2;GUILLAUMETTE;1931;5
2;GUILLAUMETTE;1936;8
2;GUILLAUMETTE;1938;7
2;GUILLAUMETTE;1941;4
2;GUILLAUMETTE;1942;6
2;GUILLAUMETTE;1943;4
2;GUILLAUMETTE;1979;3
2;GUILLAUMETTE;XXXX;48
