sexe;preusuel;annais;nombre
2;JANIQUE;1963;450
2;JANIQUE;1964;258
2;JANIQUE;1965;134
2;JANIQUE;1966;106
2;JANIQUE;1967;77
2;JANIQUE;1968;50
2;JANIQUE;1969;47
2;JANIQUE;1970;49
2;JANIQUE;1971;50
2;JANIQUE;1972;44
2;JANIQUE;1973;36
2;JANIQUE;1974;23
2;JANIQUE;1975;17
2;JANIQUE;1976;19
2;JANIQUE;1977;10
2;JANIQUE;1978;8
2;JANIQUE;1979;13
2;JANIQUE;1980;9
2;JANIQUE;1981;12
2;JANIQUE;1982;7
2;JANIQUE;1983;9
2;JANIQUE;1984;4
2;JANIQUE;1985;7
2;JANIQUE;1986;6
2;JANIQUE;1987;4
2;JANIQUE;1989;4
2;JANIQUE;1990;3
2;JANIQUE;1991;3
2;JANIQUE;XXXX;29
