sexe;preusuel;annais;nombre
2;WINDY;1976;4
2;WINDY;1977;3
2;WINDY;1978;7
2;WINDY;1979;7
2;WINDY;1980;4
2;WINDY;1981;6
2;WINDY;1982;6
2;WINDY;1983;8
2;WINDY;1984;6
2;WINDY;1985;7
2;WINDY;1986;8
2;WINDY;1987;11
2;WINDY;1988;14
2;WINDY;1989;15
2;WINDY;1990;13
2;WINDY;1991;14
2;WINDY;1992;19
2;WINDY;1993;20
2;WINDY;1994;41
2;WINDY;1995;21
2;WINDY;1996;9
2;WINDY;1997;14
2;WINDY;1998;11
2;WINDY;1999;9
2;WINDY;2000;3
2;WINDY;2001;6
2;WINDY;2002;14
2;WINDY;2003;5
2;WINDY;2005;10
2;WINDY;2007;4
2;WINDY;2008;5
2;WINDY;2009;3
2;WINDY;2010;3
2;WINDY;2011;4
2;WINDY;2014;4
2;WINDY;2015;3
2;WINDY;2019;3
2;WINDY;XXXX;15
