sexe;preusuel;annais;nombre
1;MUHAMET;1979;4
1;MUHAMET;1982;3
1;MUHAMET;1983;10
1;MUHAMET;1984;4
1;MUHAMET;1985;8
1;MUHAMET;1986;5
1;MUHAMET;1987;11
1;MUHAMET;1989;4
1;MUHAMET;1990;3
1;MUHAMET;1991;4
1;MUHAMET;1992;5
1;MUHAMET;1995;3
1;MUHAMET;1996;3
1;MUHAMET;1997;3
1;MUHAMET;1999;3
1;MUHAMET;2000;3
1;MUHAMET;2001;4
1;MUHAMET;2002;6
1;MUHAMET;2003;5
1;MUHAMET;2004;3
1;MUHAMET;2005;8
1;MUHAMET;2006;9
1;MUHAMET;2007;5
1;MUHAMET;2008;7
1;MUHAMET;2009;3
1;MUHAMET;2010;14
1;MUHAMET;2011;9
1;MUHAMET;2012;8
1;MUHAMET;2013;8
1;MUHAMET;2014;10
1;MUHAMET;2015;5
1;MUHAMET;2016;4
1;MUHAMET;2017;9
1;MUHAMET;2018;4
1;MUHAMET;2019;6
1;MUHAMET;2020;7
1;MUHAMET;2021;4
1;MUHAMET;XXXX;17
