sexe;preusuel;annais;nombre
2;MARIE-DOLORES;1950;3
2;MARIE-DOLORES;1951;4
2;MARIE-DOLORES;1952;3
2;MARIE-DOLORES;1954;5
2;MARIE-DOLORES;1955;6
2;MARIE-DOLORES;1956;11
2;MARIE-DOLORES;1957;4
2;MARIE-DOLORES;1958;6
2;MARIE-DOLORES;1959;7
2;MARIE-DOLORES;1960;6
2;MARIE-DOLORES;1961;14
2;MARIE-DOLORES;1962;10
2;MARIE-DOLORES;1963;7
2;MARIE-DOLORES;1964;11
2;MARIE-DOLORES;1965;9
2;MARIE-DOLORES;1966;11
2;MARIE-DOLORES;1967;8
2;MARIE-DOLORES;1968;7
2;MARIE-DOLORES;1969;6
2;MARIE-DOLORES;1970;10
2;MARIE-DOLORES;1971;8
2;MARIE-DOLORES;1972;8
2;MARIE-DOLORES;1973;8
2;MARIE-DOLORES;1974;9
2;MARIE-DOLORES;1975;7
2;MARIE-DOLORES;1976;6
2;MARIE-DOLORES;1977;6
2;MARIE-DOLORES;1978;3
2;MARIE-DOLORES;1985;4
2;MARIE-DOLORES;1991;3
2;MARIE-DOLORES;1992;3
2;MARIE-DOLORES;1993;4
2;MARIE-DOLORES;1999;4
2;MARIE-DOLORES;XXXX;51
