sexe;preusuel;annais;nombre
2;FANTA;1964;4
2;FANTA;1967;6
2;FANTA;1968;4
2;FANTA;1969;3
2;FANTA;1970;4
2;FANTA;1971;4
2;FANTA;1973;8
2;FANTA;1974;9
2;FANTA;1975;14
2;FANTA;1976;15
2;FANTA;1977;9
2;FANTA;1978;14
2;FANTA;1979;12
2;FANTA;1980;10
2;FANTA;1981;19
2;FANTA;1982;17
2;FANTA;1983;22
2;FANTA;1984;29
2;FANTA;1985;28
2;FANTA;1986;36
2;FANTA;1987;30
2;FANTA;1988;29
2;FANTA;1989;31
2;FANTA;1990;33
2;FANTA;1991;36
2;FANTA;1992;42
2;FANTA;1993;51
2;FANTA;1994;52
2;FANTA;1995;42
2;FANTA;1996;41
2;FANTA;1997;36
2;FANTA;1998;36
2;FANTA;1999;39
2;FANTA;2000;58
2;FANTA;2001;63
2;FANTA;2002;56
2;FANTA;2003;75
2;FANTA;2004;74
2;FANTA;2005;85
2;FANTA;2006;80
2;FANTA;2007;78
2;FANTA;2008;82
2;FANTA;2009;80
2;FANTA;2010;70
2;FANTA;2011;87
2;FANTA;2012;79
2;FANTA;2013;76
2;FANTA;2014;101
2;FANTA;2015;82
2;FANTA;2016;96
2;FANTA;2017;113
2;FANTA;2018;112
2;FANTA;2019;127
2;FANTA;2020;122
2;FANTA;2021;152
2;FANTA;2022;170
2;FANTA;XXXX;13
