sexe;preusuel;annais;nombre
2;JOSEPHA;1900;5
2;JOSEPHA;1901;15
2;JOSEPHA;1902;17
2;JOSEPHA;1903;9
2;JOSEPHA;1904;9
2;JOSEPHA;1905;11
2;JOSEPHA;1906;15
2;JOSEPHA;1907;14
2;JOSEPHA;1908;17
2;JOSEPHA;1909;12
2;JOSEPHA;1910;22
2;JOSEPHA;1911;18
2;JOSEPHA;1912;28
2;JOSEPHA;1913;11
2;JOSEPHA;1914;14
2;JOSEPHA;1915;15
2;JOSEPHA;1916;16
2;JOSEPHA;1917;18
2;JOSEPHA;1918;14
2;JOSEPHA;1919;10
2;JOSEPHA;1920;25
2;JOSEPHA;1921;18
2;JOSEPHA;1922;28
2;JOSEPHA;1923;40
2;JOSEPHA;1924;73
2;JOSEPHA;1925;89
2;JOSEPHA;1926;84
2;JOSEPHA;1927;75
2;JOSEPHA;1928;58
2;JOSEPHA;1929;56
2;JOSEPHA;1930;76
2;JOSEPHA;1931;88
2;JOSEPHA;1932;71
2;JOSEPHA;1933;46
2;JOSEPHA;1934;45
2;JOSEPHA;1935;30
2;JOSEPHA;1936;24
2;JOSEPHA;1937;19
2;JOSEPHA;1938;22
2;JOSEPHA;1939;20
2;JOSEPHA;1940;17
2;JOSEPHA;1941;15
2;JOSEPHA;1942;15
2;JOSEPHA;1943;14
2;JOSEPHA;1944;13
2;JOSEPHA;1945;14
2;JOSEPHA;1946;9
2;JOSEPHA;1947;13
2;JOSEPHA;1948;11
2;JOSEPHA;1949;12
2;JOSEPHA;1950;14
2;JOSEPHA;1951;9
2;JOSEPHA;1952;4
2;JOSEPHA;1953;5
2;JOSEPHA;1954;7
2;JOSEPHA;1955;6
2;JOSEPHA;1956;9
2;JOSEPHA;1957;8
2;JOSEPHA;1958;10
2;JOSEPHA;1959;17
2;JOSEPHA;1960;14
2;JOSEPHA;1961;13
2;JOSEPHA;1962;24
2;JOSEPHA;1963;22
2;JOSEPHA;1964;17
2;JOSEPHA;1965;25
2;JOSEPHA;1966;23
2;JOSEPHA;1967;22
2;JOSEPHA;1968;10
2;JOSEPHA;1969;18
2;JOSEPHA;1970;14
2;JOSEPHA;1971;15
2;JOSEPHA;1972;8
2;JOSEPHA;1973;8
2;JOSEPHA;1974;6
2;JOSEPHA;1975;3
2;JOSEPHA;1976;9
2;JOSEPHA;1977;5
2;JOSEPHA;1978;7
2;JOSEPHA;1979;11
2;JOSEPHA;1980;10
2;JOSEPHA;1981;9
2;JOSEPHA;1982;20
2;JOSEPHA;1983;18
2;JOSEPHA;1984;46
2;JOSEPHA;1985;29
2;JOSEPHA;1986;27
2;JOSEPHA;1987;29
2;JOSEPHA;1988;39
2;JOSEPHA;1989;29
2;JOSEPHA;1990;35
2;JOSEPHA;1991;28
2;JOSEPHA;1992;21
2;JOSEPHA;1993;24
2;JOSEPHA;1994;20
2;JOSEPHA;1995;24
2;JOSEPHA;1996;15
2;JOSEPHA;1997;12
2;JOSEPHA;1998;11
2;JOSEPHA;1999;15
2;JOSEPHA;2000;7
2;JOSEPHA;2001;24
2;JOSEPHA;2002;20
2;JOSEPHA;2003;11
2;JOSEPHA;2004;9
2;JOSEPHA;2005;15
2;JOSEPHA;2006;12
2;JOSEPHA;2007;10
2;JOSEPHA;2008;13
2;JOSEPHA;2009;9
2;JOSEPHA;2010;14
2;JOSEPHA;2011;8
2;JOSEPHA;2012;6
2;JOSEPHA;2013;8
2;JOSEPHA;2014;7
2;JOSEPHA;2015;10
2;JOSEPHA;2016;5
2;JOSEPHA;2017;5
2;JOSEPHA;2018;5
2;JOSEPHA;2020;9
2;JOSEPHA;2021;13
2;JOSEPHA;2022;10
2;JOSEPHA;XXXX;2
