sexe;preusuel;annais;nombre
1;DAVY;1957;4
1;DAVY;1970;3
1;DAVY;1971;13
1;DAVY;1972;206
1;DAVY;1973;311
1;DAVY;1974;369
1;DAVY;1975;334
1;DAVY;1976;346
1;DAVY;1977;420
1;DAVY;1978;390
1;DAVY;1979;386
1;DAVY;1980;358
1;DAVY;1981;345
1;DAVY;1982;395
1;DAVY;1983;306
1;DAVY;1984;313
1;DAVY;1985;273
1;DAVY;1986;336
1;DAVY;1987;281
1;DAVY;1988;287
1;DAVY;1989;302
1;DAVY;1990;323
1;DAVY;1991;285
1;DAVY;1992;224
1;DAVY;1993;199
1;DAVY;1994;214
1;DAVY;1995;178
1;DAVY;1996;174
1;DAVY;1997;149
1;DAVY;1998;131
1;DAVY;1999;159
1;DAVY;2000;152
1;DAVY;2001;153
1;DAVY;2002;134
1;DAVY;2003;117
1;DAVY;2004;100
1;DAVY;2005;93
1;DAVY;2006;82
1;DAVY;2007;77
1;DAVY;2008;83
1;DAVY;2009;53
1;DAVY;2010;58
1;DAVY;2011;47
1;DAVY;2012;45
1;DAVY;2013;33
1;DAVY;2014;33
1;DAVY;2015;24
1;DAVY;2016;34
1;DAVY;2017;24
1;DAVY;2018;27
1;DAVY;2019;11
1;DAVY;2020;23
1;DAVY;2021;10
1;DAVY;2022;14
1;DAVY;XXXX;6
