sexe;preusuel;annais;nombre
2;ZAINA;1930;4
2;ZAINA;1932;3
2;ZAINA;1939;3
2;ZAINA;1940;3
2;ZAINA;1945;5
2;ZAINA;1946;5
2;ZAINA;1947;5
2;ZAINA;1948;5
2;ZAINA;1949;4
2;ZAINA;1951;4
2;ZAINA;1952;4
2;ZAINA;1953;4
2;ZAINA;1954;4
2;ZAINA;1955;4
2;ZAINA;1956;4
2;ZAINA;1957;6
2;ZAINA;1959;4
2;ZAINA;1961;6
2;ZAINA;1962;5
2;ZAINA;1964;4
2;ZAINA;1965;4
2;ZAINA;1966;9
2;ZAINA;1967;6
2;ZAINA;1968;9
2;ZAINA;1969;8
2;ZAINA;1971;8
2;ZAINA;1972;7
2;ZAINA;1973;14
2;ZAINA;1974;8
2;ZAINA;1975;12
2;ZAINA;1976;5
2;ZAINA;1977;10
2;ZAINA;1978;7
2;ZAINA;1979;3
2;ZAINA;1980;11
2;ZAINA;1981;7
2;ZAINA;1982;7
2;ZAINA;1983;9
2;ZAINA;1984;6
2;ZAINA;1985;8
2;ZAINA;1986;9
2;ZAINA;1987;4
2;ZAINA;1988;6
2;ZAINA;1989;8
2;ZAINA;1990;9
2;ZAINA;1991;12
2;ZAINA;1992;5
2;ZAINA;1993;6
2;ZAINA;1994;6
2;ZAINA;1995;13
2;ZAINA;1996;10
2;ZAINA;1997;10
2;ZAINA;1998;5
2;ZAINA;1999;8
2;ZAINA;2000;13
2;ZAINA;2001;12
2;ZAINA;2002;14
2;ZAINA;2003;20
2;ZAINA;2004;23
2;ZAINA;2005;17
2;ZAINA;2006;41
2;ZAINA;2007;57
2;ZAINA;2008;35
2;ZAINA;2009;38
2;ZAINA;2010;51
2;ZAINA;2011;20
2;ZAINA;2012;16
2;ZAINA;2013;12
2;ZAINA;2014;9
2;ZAINA;2015;10
2;ZAINA;2016;11
2;ZAINA;2017;7
2;ZAINA;2018;7
2;ZAINA;2019;9
2;ZAINA;2020;7
2;ZAINA;2021;12
2;ZAINA;2022;11
2;ZAINA;XXXX;24
