sexe;preusuel;annais;nombre
2;ESIN;1981;3
2;ESIN;1983;3
2;ESIN;1984;4
2;ESIN;1985;4
2;ESIN;1986;3
2;ESIN;1987;4
2;ESIN;1990;6
2;ESIN;1991;3
2;ESIN;1992;3
2;ESIN;1993;4
2;ESIN;1994;5
2;ESIN;1995;4
2;ESIN;1996;4
2;ESIN;1997;4
2;ESIN;1998;9
2;ESIN;1999;13
2;ESIN;2000;14
2;ESIN;2001;12
2;ESIN;2002;12
2;ESIN;2003;11
2;ESIN;2004;15
2;ESIN;2005;13
2;ESIN;2006;11
2;ESIN;2007;8
2;ESIN;2008;11
2;ESIN;2009;9
2;ESIN;2010;11
2;ESIN;2011;8
2;ESIN;2012;11
2;ESIN;2013;8
2;ESIN;2014;7
2;ESIN;2015;4
2;ESIN;2016;12
2;ESIN;2017;14
2;ESIN;2018;8
2;ESIN;2019;3
2;ESIN;2020;4
2;ESIN;2021;5
2;ESIN;XXXX;15
