sexe;preusuel;annais;nombre
1;NATHANAËL;1971;4
1;NATHANAËL;1972;6
1;NATHANAËL;1973;7
1;NATHANAËL;1974;4
1;NATHANAËL;1975;9
1;NATHANAËL;1976;10
1;NATHANAËL;1977;12
1;NATHANAËL;1978;10
1;NATHANAËL;1979;8
1;NATHANAËL;1980;16
1;NATHANAËL;1981;26
1;NATHANAËL;1982;22
1;NATHANAËL;1983;13
1;NATHANAËL;1984;18
1;NATHANAËL;1985;25
1;NATHANAËL;1986;27
1;NATHANAËL;1987;24
1;NATHANAËL;1988;18
1;NATHANAËL;1989;15
1;NATHANAËL;1990;10
1;NATHANAËL;1991;16
1;NATHANAËL;1992;15
1;NATHANAËL;1993;17
1;NATHANAËL;1994;12
1;NATHANAËL;1995;23
1;NATHANAËL;1996;52
1;NATHANAËL;1997;81
1;NATHANAËL;1998;76
1;NATHANAËL;1999;18
1;NATHANAËL;2000;8
1;NATHANAËL;2001;5
1;NATHANAËL;2002;3
1;NATHANAËL;2005;4
1;NATHANAËL;2006;3
1;NATHANAËL;2007;3
1;NATHANAËL;2009;10
1;NATHANAËL;2010;179
1;NATHANAËL;2011;399
1;NATHANAËL;2012;499
1;NATHANAËL;2013;505
1;NATHANAËL;2014;485
1;NATHANAËL;2015;434
1;NATHANAËL;2016;499
1;NATHANAËL;2017;524
1;NATHANAËL;2018;523
1;NATHANAËL;2019;559
1;NATHANAËL;2020;514
1;NATHANAËL;2021;471
1;NATHANAËL;2022;479
1;NATHANAËL;XXXX;16
