sexe;preusuel;annais;nombre
1;TOM;1947;3
1;TOM;1953;3
1;TOM;1962;4
1;TOM;1964;3
1;TOM;1966;4
1;TOM;1968;5
1;TOM;1969;8
1;TOM;1970;5
1;TOM;1971;5
1;TOM;1972;8
1;TOM;1973;7
1;TOM;1974;19
1;TOM;1975;6
1;TOM;1976;17
1;TOM;1977;21
1;TOM;1978;32
1;TOM;1979;25
1;TOM;1980;37
1;TOM;1981;41
1;TOM;1982;40
1;TOM;1983;67
1;TOM;1984;87
1;TOM;1985;87
1;TOM;1986;108
1;TOM;1987;136
1;TOM;1988;184
1;TOM;1989;293
1;TOM;1990;417
1;TOM;1991;447
1;TOM;1992;718
1;TOM;1993;726
1;TOM;1994;853
1;TOM;1995;1075
1;TOM;1996;1242
1;TOM;1997;1425
1;TOM;1998;1827
1;TOM;1999;2541
1;TOM;2000;3632
1;TOM;2001;3791
1;TOM;2002;4032
1;TOM;2003;3853
1;TOM;2004;4072
1;TOM;2005;4441
1;TOM;2006;4503
1;TOM;2007;4117
1;TOM;2008;4185
1;TOM;2009;4088
1;TOM;2010;4120
1;TOM;2011;3862
1;TOM;2012;3545
1;TOM;2013;3213
1;TOM;2014;3108
1;TOM;2015;2983
1;TOM;2016;2871
1;TOM;2017;2840
1;TOM;2018;2581
1;TOM;2019;2305
1;TOM;2020;2220
1;TOM;2021;1994
1;TOM;2022;1843
1;TOM;XXXX;21
