sexe;preusuel;annais;nombre
2;HYACINTHE;1900;22
2;HYACINTHE;1901;24
2;HYACINTHE;1902;26
2;HYACINTHE;1903;20
2;HYACINTHE;1904;17
2;HYACINTHE;1905;27
2;HYACINTHE;1906;20
2;HYACINTHE;1907;23
2;HYACINTHE;1908;30
2;HYACINTHE;1909;22
2;HYACINTHE;1910;20
2;HYACINTHE;1911;13
2;HYACINTHE;1912;22
2;HYACINTHE;1913;30
2;HYACINTHE;1914;20
2;HYACINTHE;1915;14
2;HYACINTHE;1916;8
2;HYACINTHE;1917;10
2;HYACINTHE;1918;16
2;HYACINTHE;1919;12
2;HYACINTHE;1920;16
2;HYACINTHE;1921;13
2;HYACINTHE;1922;13
2;HYACINTHE;1923;19
2;HYACINTHE;1924;18
2;HYACINTHE;1925;12
2;HYACINTHE;1926;15
2;HYACINTHE;1927;14
2;HYACINTHE;1928;10
2;HYACINTHE;1929;16
2;HYACINTHE;1930;20
2;HYACINTHE;1931;11
2;HYACINTHE;1932;8
2;HYACINTHE;1933;14
2;HYACINTHE;1934;7
2;HYACINTHE;1935;8
2;HYACINTHE;1936;9
2;HYACINTHE;1937;9
2;HYACINTHE;1938;9
2;HYACINTHE;1939;18
2;HYACINTHE;1940;10
2;HYACINTHE;1941;5
2;HYACINTHE;1942;8
2;HYACINTHE;1943;5
2;HYACINTHE;1944;11
2;HYACINTHE;1945;6
2;HYACINTHE;1946;8
2;HYACINTHE;1947;4
2;HYACINTHE;1948;11
2;HYACINTHE;1949;12
2;HYACINTHE;1950;11
2;HYACINTHE;1951;12
2;HYACINTHE;1952;11
2;HYACINTHE;1953;10
2;HYACINTHE;1954;5
2;HYACINTHE;1955;11
2;HYACINTHE;1956;3
2;HYACINTHE;1957;13
2;HYACINTHE;1958;9
2;HYACINTHE;1959;6
2;HYACINTHE;1960;5
2;HYACINTHE;1961;7
2;HYACINTHE;1962;7
2;HYACINTHE;1963;4
2;HYACINTHE;1964;7
2;HYACINTHE;1965;7
2;HYACINTHE;1966;3
2;HYACINTHE;1967;9
2;HYACINTHE;1968;11
2;HYACINTHE;1969;11
2;HYACINTHE;1970;14
2;HYACINTHE;1971;12
2;HYACINTHE;1972;6
2;HYACINTHE;1973;3
2;HYACINTHE;1974;12
2;HYACINTHE;1975;12
2;HYACINTHE;1976;4
2;HYACINTHE;1977;6
2;HYACINTHE;1978;12
2;HYACINTHE;1979;11
2;HYACINTHE;1980;10
2;HYACINTHE;1981;15
2;HYACINTHE;1982;10
2;HYACINTHE;1983;4
2;HYACINTHE;1984;5
2;HYACINTHE;1985;6
2;HYACINTHE;1986;6
2;HYACINTHE;1987;10
2;HYACINTHE;1988;10
2;HYACINTHE;1989;7
2;HYACINTHE;1991;3
2;HYACINTHE;1992;7
2;HYACINTHE;1993;7
2;HYACINTHE;1996;3
2;HYACINTHE;1997;3
2;HYACINTHE;1999;6
2;HYACINTHE;2000;4
2;HYACINTHE;2001;4
2;HYACINTHE;2002;3
2;HYACINTHE;2003;4
2;HYACINTHE;2004;3
2;HYACINTHE;2006;3
2;HYACINTHE;2008;5
2;HYACINTHE;2009;4
2;HYACINTHE;2010;3
2;HYACINTHE;2011;3
2;HYACINTHE;2013;4
2;HYACINTHE;2014;3
2;HYACINTHE;2016;3
2;HYACINTHE;2017;4
2;HYACINTHE;2022;3
2;HYACINTHE;XXXX;19
