sexe;preusuel;annais;nombre
1;BENOIST;1909;3
1;BENOIST;1918;3
1;BENOIST;1931;3
1;BENOIST;1933;4
1;BENOIST;1939;3
1;BENOIST;1944;4
1;BENOIST;1945;3
1;BENOIST;1946;4
1;BENOIST;1947;4
1;BENOIST;1948;3
1;BENOIST;1949;4
1;BENOIST;1950;4
1;BENOIST;1951;5
1;BENOIST;1952;5
1;BENOIST;1953;6
1;BENOIST;1954;13
1;BENOIST;1955;11
1;BENOIST;1956;11
1;BENOIST;1957;12
1;BENOIST;1958;23
1;BENOIST;1959;10
1;BENOIST;1960;16
1;BENOIST;1961;28
1;BENOIST;1962;20
1;BENOIST;1963;22
1;BENOIST;1964;27
1;BENOIST;1965;25
1;BENOIST;1966;30
1;BENOIST;1967;34
1;BENOIST;1968;29
1;BENOIST;1969;35
1;BENOIST;1970;26
1;BENOIST;1971;36
1;BENOIST;1972;29
1;BENOIST;1973;33
1;BENOIST;1974;34
1;BENOIST;1975;32
1;BENOIST;1976;35
1;BENOIST;1977;50
1;BENOIST;1978;38
1;BENOIST;1979;37
1;BENOIST;1980;38
1;BENOIST;1981;34
1;BENOIST;1982;36
1;BENOIST;1983;41
1;BENOIST;1984;29
1;BENOIST;1985;30
1;BENOIST;1986;37
1;BENOIST;1987;22
1;BENOIST;1988;29
1;BENOIST;1989;18
1;BENOIST;1990;17
1;BENOIST;1991;19
1;BENOIST;1992;8
1;BENOIST;1993;14
1;BENOIST;1994;8
1;BENOIST;1995;7
1;BENOIST;1996;6
1;BENOIST;1997;7
1;BENOIST;1998;8
1;BENOIST;1999;9
1;BENOIST;2000;6
1;BENOIST;2001;3
1;BENOIST;2002;3
1;BENOIST;2003;4
1;BENOIST;2006;4
1;BENOIST;2007;3
1;BENOIST;2010;3
1;BENOIST;XXXX;41
