sexe;preusuel;annais;nombre
2;MAEL;1972;6
2;MAEL;1973;4
2;MAEL;1974;4
2;MAEL;1975;4
2;MAEL;1976;6
2;MAEL;1977;8
2;MAEL;1978;7
2;MAEL;1979;3
2;MAEL;1980;4
2;MAEL;1981;6
2;MAEL;1982;6
2;MAEL;1983;3
2;MAEL;1985;4
2;MAEL;1986;3
2;MAEL;1987;7
2;MAEL;1988;4
2;MAEL;1990;7
2;MAEL;1991;7
2;MAEL;1992;10
2;MAEL;1993;4
2;MAEL;1994;13
2;MAEL;1995;5
2;MAEL;1996;12
2;MAEL;1997;10
2;MAEL;1998;8
2;MAEL;1999;21
2;MAEL;2000;24
2;MAEL;2001;25
2;MAEL;2002;31
2;MAEL;2003;25
2;MAEL;2004;37
2;MAEL;2005;42
2;MAEL;2006;32
2;MAEL;2007;29
2;MAEL;2008;24
2;MAEL;2009;21
2;MAEL;2010;24
2;MAEL;2011;10
2;MAEL;2012;4
2;MAEL;2013;5
2;MAEL;2014;5
2;MAEL;2018;3
2;MAEL;XXXX;22
