sexe;preusuel;annais;nombre
1;SERGES;1923;5
1;SERGES;1924;4
1;SERGES;1925;5
1;SERGES;1926;7
1;SERGES;1928;5
1;SERGES;1929;3
1;SERGES;1930;4
1;SERGES;1931;5
1;SERGES;1932;4
1;SERGES;1933;5
1;SERGES;1934;4
1;SERGES;1935;7
1;SERGES;1936;3
1;SERGES;1937;4
1;SERGES;1938;8
1;SERGES;1939;6
1;SERGES;1940;6
1;SERGES;1942;5
1;SERGES;1944;4
1;SERGES;1945;4
1;SERGES;1946;9
1;SERGES;1947;9
1;SERGES;1948;7
1;SERGES;1949;8
1;SERGES;1950;7
1;SERGES;1951;11
1;SERGES;1952;3
1;SERGES;1953;10
1;SERGES;1955;6
1;SERGES;1956;6
1;SERGES;1957;7
1;SERGES;1958;7
1;SERGES;1959;5
1;SERGES;1960;3
1;SERGES;1961;3
1;SERGES;1962;8
1;SERGES;XXXX;46
