sexe;preusuel;annais;nombre
2;JANET;1952;4
2;JANET;1953;6
2;JANET;1954;13
2;JANET;1955;15
2;JANET;1956;10
2;JANET;1957;12
2;JANET;1958;9
2;JANET;1959;6
2;JANET;1960;11
2;JANET;1961;16
2;JANET;1962;8
2;JANET;1963;11
2;JANET;1964;8
2;JANET;1965;4
2;JANET;1966;3
2;JANET;1989;3
2;JANET;1991;5
2;JANET;1992;6
2;JANET;1994;4
2;JANET;1995;6
2;JANET;1996;6
2;JANET;1997;9
2;JANET;1998;8
2;JANET;1999;8
2;JANET;2000;8
2;JANET;2001;3
2;JANET;2002;7
2;JANET;2003;6
2;JANET;2004;3
2;JANET;2005;4
2;JANET;2006;5
2;JANET;2008;6
2;JANET;2009;4
2;JANET;2010;9
2;JANET;2011;5
2;JANET;2012;6
2;JANET;2013;8
2;JANET;2015;5
2;JANET;2017;3
2;JANET;2018;5
2;JANET;2019;5
2;JANET;2020;6
2;JANET;2021;8
2;JANET;2022;6
2;JANET;XXXX;36
