sexe;preusuel;annais;nombre
2;SALSABIL;1992;4
2;SALSABIL;1994;7
2;SALSABIL;1997;6
2;SALSABIL;1998;7
2;SALSABIL;1999;5
2;SALSABIL;2000;5
2;SALSABIL;2001;5
2;SALSABIL;2002;10
2;SALSABIL;2003;18
2;SALSABIL;2004;11
2;SALSABIL;2005;21
2;SALSABIL;2006;12
2;SALSABIL;2007;32
2;SALSABIL;2008;26
2;SALSABIL;2009;27
2;SALSABIL;2010;28
2;SALSABIL;2011;36
2;SALSABIL;2012;31
2;SALSABIL;2013;31
2;SALSABIL;2014;28
2;SALSABIL;2015;34
2;SALSABIL;2016;40
2;SALSABIL;2017;41
2;SALSABIL;2018;47
2;SALSABIL;2019;49
2;SALSABIL;2020;42
2;SALSABIL;2021;48
2;SALSABIL;2022;30
2;SALSABIL;XXXX;11
