sexe;preusuel;annais;nombre
1;FIACRE;1903;4
1;FIACRE;1904;6
1;FIACRE;1906;4
1;FIACRE;1908;5
1;FIACRE;1909;3
1;FIACRE;1910;3
1;FIACRE;1913;4
1;FIACRE;1914;6
1;FIACRE;1915;3
1;FIACRE;1917;9
1;FIACRE;1919;3
1;FIACRE;1920;5
1;FIACRE;1921;7
1;FIACRE;1922;4
1;FIACRE;1923;6
1;FIACRE;1924;6
1;FIACRE;1925;6
1;FIACRE;1926;3
1;FIACRE;1927;6
1;FIACRE;1928;3
1;FIACRE;1929;3
1;FIACRE;1934;3
1;FIACRE;1939;3
1;FIACRE;1940;9
1;FIACRE;1941;9
1;FIACRE;1944;3
1;FIACRE;1945;3
1;FIACRE;1946;3
1;FIACRE;1947;5
1;FIACRE;1948;9
1;FIACRE;1952;4
1;FIACRE;XXXX;44
