sexe;preusuel;annais;nombre
2;SAFAA;1980;3
2;SAFAA;1982;3
2;SAFAA;1983;7
2;SAFAA;1984;5
2;SAFAA;1985;8
2;SAFAA;1986;10
2;SAFAA;1987;8
2;SAFAA;1988;11
2;SAFAA;1989;8
2;SAFAA;1990;13
2;SAFAA;1991;12
2;SAFAA;1992;15
2;SAFAA;1993;15
2;SAFAA;1994;11
2;SAFAA;1995;20
2;SAFAA;1996;17
2;SAFAA;1997;15
2;SAFAA;1998;20
2;SAFAA;1999;13
2;SAFAA;2000;18
2;SAFAA;2001;14
2;SAFAA;2002;25
2;SAFAA;2003;35
2;SAFAA;2004;28
2;SAFAA;2005;29
2;SAFAA;2006;33
2;SAFAA;2007;53
2;SAFAA;2008;51
2;SAFAA;2009;65
2;SAFAA;2010;58
2;SAFAA;2011;49
2;SAFAA;2012;44
2;SAFAA;2013;58
2;SAFAA;2014;60
2;SAFAA;2015;51
2;SAFAA;2016;50
2;SAFAA;2017;57
2;SAFAA;2018;52
2;SAFAA;2019;51
2;SAFAA;2020;50
2;SAFAA;2021;54
2;SAFAA;2022;56
2;SAFAA;XXXX;3
