sexe;preusuel;annais;nombre
2;SAHAR;1980;3
2;SAHAR;1981;4
2;SAHAR;1982;5
2;SAHAR;1984;8
2;SAHAR;1985;7
2;SAHAR;1986;3
2;SAHAR;1987;7
2;SAHAR;1988;6
2;SAHAR;1989;7
2;SAHAR;1990;7
2;SAHAR;1991;10
2;SAHAR;1992;6
2;SAHAR;1993;6
2;SAHAR;1994;8
2;SAHAR;1995;3
2;SAHAR;1996;8
2;SAHAR;1997;8
2;SAHAR;1998;4
2;SAHAR;2001;6
2;SAHAR;2002;8
2;SAHAR;2003;10
2;SAHAR;2005;4
2;SAHAR;2006;3
2;SAHAR;2007;6
2;SAHAR;2008;7
2;SAHAR;2009;5
2;SAHAR;2010;6
2;SAHAR;2011;5
2;SAHAR;2012;5
2;SAHAR;2013;3
2;SAHAR;2014;3
2;SAHAR;2015;11
2;SAHAR;2016;7
2;SAHAR;2017;10
2;SAHAR;2018;8
2;SAHAR;2019;4
2;SAHAR;2020;10
2;SAHAR;2021;11
2;SAHAR;2022;15
2;SAHAR;XXXX;10
