sexe;preusuel;annais;nombre
1;MOHAMED-MEHDI;1992;3
1;MOHAMED-MEHDI;1994;3
1;MOHAMED-MEHDI;1995;3
1;MOHAMED-MEHDI;1997;3
1;MOHAMED-MEHDI;1998;3
1;MOHAMED-MEHDI;2000;5
1;MOHAMED-MEHDI;2002;7
1;MOHAMED-MEHDI;2003;4
1;MOHAMED-MEHDI;2004;5
1;MOHAMED-MEHDI;2006;3
1;MOHAMED-MEHDI;2007;3
1;MOHAMED-MEHDI;2009;6
1;MOHAMED-MEHDI;2010;8
1;MOHAMED-MEHDI;2011;7
1;MOHAMED-MEHDI;2012;6
1;MOHAMED-MEHDI;2013;5
1;MOHAMED-MEHDI;2014;7
1;MOHAMED-MEHDI;2015;6
1;MOHAMED-MEHDI;2018;3
1;MOHAMED-MEHDI;2019;5
1;MOHAMED-MEHDI;XXXX;28
