sexe;preusuel;annais;nombre
1;JEAN-BENOÎT;1945;4
1;JEAN-BENOÎT;1947;5
1;JEAN-BENOÎT;1948;6
1;JEAN-BENOÎT;1949;6
1;JEAN-BENOÎT;1950;6
1;JEAN-BENOÎT;1951;7
1;JEAN-BENOÎT;1952;7
1;JEAN-BENOÎT;1953;10
1;JEAN-BENOÎT;1954;7
1;JEAN-BENOÎT;1955;5
1;JEAN-BENOÎT;1956;13
1;JEAN-BENOÎT;1957;10
1;JEAN-BENOÎT;1958;11
1;JEAN-BENOÎT;1959;9
1;JEAN-BENOÎT;1960;8
1;JEAN-BENOÎT;1961;14
1;JEAN-BENOÎT;1962;15
1;JEAN-BENOÎT;1963;13
1;JEAN-BENOÎT;1964;20
1;JEAN-BENOÎT;1965;16
1;JEAN-BENOÎT;1966;19
1;JEAN-BENOÎT;1967;12
1;JEAN-BENOÎT;1968;14
1;JEAN-BENOÎT;1969;25
1;JEAN-BENOÎT;1970;31
1;JEAN-BENOÎT;1971;30
1;JEAN-BENOÎT;1972;17
1;JEAN-BENOÎT;1973;34
1;JEAN-BENOÎT;1974;37
1;JEAN-BENOÎT;1975;31
1;JEAN-BENOÎT;1976;37
1;JEAN-BENOÎT;1977;30
1;JEAN-BENOÎT;1978;33
1;JEAN-BENOÎT;1979;35
1;JEAN-BENOÎT;1980;37
1;JEAN-BENOÎT;1981;36
1;JEAN-BENOÎT;1982;35
1;JEAN-BENOÎT;1983;47
1;JEAN-BENOÎT;1984;35
1;JEAN-BENOÎT;1985;43
1;JEAN-BENOÎT;1986;58
1;JEAN-BENOÎT;1987;43
1;JEAN-BENOÎT;1988;51
1;JEAN-BENOÎT;1989;34
1;JEAN-BENOÎT;1990;34
1;JEAN-BENOÎT;1991;25
1;JEAN-BENOÎT;1992;18
1;JEAN-BENOÎT;1993;14
1;JEAN-BENOÎT;1994;20
1;JEAN-BENOÎT;1995;11
1;JEAN-BENOÎT;1996;15
1;JEAN-BENOÎT;1997;9
1;JEAN-BENOÎT;1998;12
1;JEAN-BENOÎT;1999;12
1;JEAN-BENOÎT;2000;8
1;JEAN-BENOÎT;2001;7
1;JEAN-BENOÎT;2002;8
1;JEAN-BENOÎT;2003;5
1;JEAN-BENOÎT;2004;8
1;JEAN-BENOÎT;2005;3
1;JEAN-BENOÎT;2006;7
1;JEAN-BENOÎT;2007;5
1;JEAN-BENOÎT;2008;3
1;JEAN-BENOÎT;2009;3
1;JEAN-BENOÎT;2012;3
1;JEAN-BENOÎT;XXXX;26
