sexe;preusuel;annais;nombre
1;AVIT;1900;8
1;AVIT;1901;6
1;AVIT;1902;9
1;AVIT;1903;7
1;AVIT;1904;7
1;AVIT;1905;7
1;AVIT;1906;4
1;AVIT;1907;3
1;AVIT;1908;11
1;AVIT;1909;5
1;AVIT;1910;11
1;AVIT;1911;7
1;AVIT;1912;8
1;AVIT;1913;3
1;AVIT;1914;7
1;AVIT;1915;12
1;AVIT;1916;5
1;AVIT;1917;10
1;AVIT;1918;9
1;AVIT;1919;9
1;AVIT;1921;10
1;AVIT;1922;12
1;AVIT;1923;13
1;AVIT;1924;8
1;AVIT;1925;4
1;AVIT;1926;10
1;AVIT;1927;15
1;AVIT;1928;5
1;AVIT;1929;8
1;AVIT;1930;7
1;AVIT;1931;14
1;AVIT;1932;9
1;AVIT;1933;8
1;AVIT;1935;6
1;AVIT;1937;6
1;AVIT;1939;8
1;AVIT;1940;5
1;AVIT;1942;6
1;AVIT;1943;6
1;AVIT;1944;3
1;AVIT;1945;9
1;AVIT;1946;8
1;AVIT;1947;3
1;AVIT;1953;3
1;AVIT;1956;4
1;AVIT;1957;3
1;AVIT;1960;3
1;AVIT;XXXX;35
