sexe;preusuel;annais;nombre
1;LUCIEN;1900;2944
1;LUCIEN;1901;3264
1;LUCIEN;1902;3388
1;LUCIEN;1903;3542
1;LUCIEN;1904;3732
1;LUCIEN;1905;3969
1;LUCIEN;1906;4133
1;LUCIEN;1907;4153
1;LUCIEN;1908;4312
1;LUCIEN;1909;4519
1;LUCIEN;1910;4585
1;LUCIEN;1911;4505
1;LUCIEN;1912;4973
1;LUCIEN;1913;4937
1;LUCIEN;1914;4587
1;LUCIEN;1915;2799
1;LUCIEN;1916;2497
1;LUCIEN;1917;2758
1;LUCIEN;1918;3305
1;LUCIEN;1919;3806
1;LUCIEN;1920;6218
1;LUCIEN;1921;5891
1;LUCIEN;1922;5638
1;LUCIEN;1923;5654
1;LUCIEN;1924;5312
1;LUCIEN;1925;5285
1;LUCIEN;1926;5185
1;LUCIEN;1927;5150
1;LUCIEN;1928;5051
1;LUCIEN;1929;4743
1;LUCIEN;1930;4793
1;LUCIEN;1931;4377
1;LUCIEN;1932;4393
1;LUCIEN;1933;4015
1;LUCIEN;1934;3748
1;LUCIEN;1935;3447
1;LUCIEN;1936;3311
1;LUCIEN;1937;2950
1;LUCIEN;1938;2665
1;LUCIEN;1939;2556
1;LUCIEN;1940;2261
1;LUCIEN;1941;1949
1;LUCIEN;1942;2014
1;LUCIEN;1943;1798
1;LUCIEN;1944;1749
1;LUCIEN;1945;1640
1;LUCIEN;1946;2347
1;LUCIEN;1947;2185
1;LUCIEN;1948;2053
1;LUCIEN;1949;1940
1;LUCIEN;1950;1777
1;LUCIEN;1951;1584
1;LUCIEN;1952;1380
1;LUCIEN;1953;1216
1;LUCIEN;1954;1090
1;LUCIEN;1955;926
1;LUCIEN;1956;963
1;LUCIEN;1957;877
1;LUCIEN;1958;836
1;LUCIEN;1959;765
1;LUCIEN;1960;663
1;LUCIEN;1961;626
1;LUCIEN;1962;551
1;LUCIEN;1963;460
1;LUCIEN;1964;416
1;LUCIEN;1965;393
1;LUCIEN;1966;382
1;LUCIEN;1967;307
1;LUCIEN;1968;288
1;LUCIEN;1969;242
1;LUCIEN;1970;221
1;LUCIEN;1971;187
1;LUCIEN;1972;131
1;LUCIEN;1973;115
1;LUCIEN;1974;107
1;LUCIEN;1975;87
1;LUCIEN;1976;97
1;LUCIEN;1977;87
1;LUCIEN;1978;87
1;LUCIEN;1979;106
1;LUCIEN;1980;119
1;LUCIEN;1981;93
1;LUCIEN;1982;109
1;LUCIEN;1983;83
1;LUCIEN;1984;91
1;LUCIEN;1985;100
1;LUCIEN;1986;110
1;LUCIEN;1987;115
1;LUCIEN;1988;119
1;LUCIEN;1989;123
1;LUCIEN;1990;144
1;LUCIEN;1991;178
1;LUCIEN;1992;213
1;LUCIEN;1993;215
1;LUCIEN;1994;199
1;LUCIEN;1995;235
1;LUCIEN;1996;198
1;LUCIEN;1997;238
1;LUCIEN;1998;263
1;LUCIEN;1999;252
1;LUCIEN;2000;263
1;LUCIEN;2001;276
1;LUCIEN;2002;329
1;LUCIEN;2003;321
1;LUCIEN;2004;345
1;LUCIEN;2005;346
1;LUCIEN;2006;298
1;LUCIEN;2007;323
1;LUCIEN;2008;310
1;LUCIEN;2009;346
1;LUCIEN;2010;409
1;LUCIEN;2011;464
1;LUCIEN;2012;518
1;LUCIEN;2013;517
1;LUCIEN;2014;487
1;LUCIEN;2015;591
1;LUCIEN;2016;527
1;LUCIEN;2017;566
1;LUCIEN;2018;651
1;LUCIEN;2019;602
1;LUCIEN;2020;582
1;LUCIEN;2021;715
1;LUCIEN;2022;599
