sexe;preusuel;annais;nombre
1;TEIVA;1977;3
1;TEIVA;1982;4
1;TEIVA;1984;3
1;TEIVA;1986;4
1;TEIVA;1988;5
1;TEIVA;1990;3
1;TEIVA;1992;4
1;TEIVA;1993;3
1;TEIVA;1995;3
1;TEIVA;1996;5
1;TEIVA;1997;5
1;TEIVA;1998;6
1;TEIVA;1999;4
1;TEIVA;2000;16
1;TEIVA;2001;11
1;TEIVA;2002;17
1;TEIVA;2003;13
1;TEIVA;2004;9
1;TEIVA;2005;17
1;TEIVA;2006;18
1;TEIVA;2007;14
1;TEIVA;2008;17
1;TEIVA;2009;18
1;TEIVA;2010;19
1;TEIVA;2011;12
1;TEIVA;2012;9
1;TEIVA;2013;13
1;TEIVA;2014;12
1;TEIVA;2015;16
1;TEIVA;2016;8
1;TEIVA;2017;10
1;TEIVA;2018;14
1;TEIVA;2019;12
1;TEIVA;2020;4
1;TEIVA;2021;9
1;TEIVA;2022;4
1;TEIVA;XXXX;20
