sexe;preusuel;annais;nombre
2;SELIA;1971;5
2;SELIA;1972;7
2;SELIA;1973;9
2;SELIA;1975;7
2;SELIA;1976;4
2;SELIA;1979;8
2;SELIA;1990;3
2;SELIA;1991;5
2;SELIA;1993;6
2;SELIA;1995;4
2;SELIA;1996;6
2;SELIA;1997;10
2;SELIA;1998;9
2;SELIA;1999;4
2;SELIA;2000;8
2;SELIA;2001;14
2;SELIA;2002;13
2;SELIA;2003;18
2;SELIA;2004;19
2;SELIA;2005;16
2;SELIA;2006;14
2;SELIA;2007;24
2;SELIA;2008;22
2;SELIA;2009;13
2;SELIA;2010;19
2;SELIA;2011;4
2;SELIA;2012;6
2;SELIA;2013;5
2;SELIA;2014;6
2;SELIA;2015;5
2;SELIA;2016;5
2;SELIA;2017;4
2;SELIA;2019;4
2;SELIA;2020;4
2;SELIA;2022;3
2;SELIA;XXXX;32
