sexe;preusuel;annais;nombre
2;DOROTHEE;1900;30
2;DOROTHEE;1901;48
2;DOROTHEE;1902;37
2;DOROTHEE;1903;34
2;DOROTHEE;1904;38
2;DOROTHEE;1905;32
2;DOROTHEE;1906;33
2;DOROTHEE;1907;31
2;DOROTHEE;1908;32
2;DOROTHEE;1909;32
2;DOROTHEE;1910;38
2;DOROTHEE;1911;46
2;DOROTHEE;1912;39
2;DOROTHEE;1913;38
2;DOROTHEE;1914;19
2;DOROTHEE;1915;31
2;DOROTHEE;1916;36
2;DOROTHEE;1917;17
2;DOROTHEE;1918;21
2;DOROTHEE;1919;18
2;DOROTHEE;1920;26
2;DOROTHEE;1921;27
2;DOROTHEE;1922;36
2;DOROTHEE;1923;24
2;DOROTHEE;1924;26
2;DOROTHEE;1925;50
2;DOROTHEE;1926;35
2;DOROTHEE;1927;36
2;DOROTHEE;1928;34
2;DOROTHEE;1929;28
2;DOROTHEE;1930;31
2;DOROTHEE;1931;33
2;DOROTHEE;1932;26
2;DOROTHEE;1933;25
2;DOROTHEE;1934;37
2;DOROTHEE;1935;24
2;DOROTHEE;1936;24
2;DOROTHEE;1937;21
2;DOROTHEE;1938;27
2;DOROTHEE;1939;29
2;DOROTHEE;1940;12
2;DOROTHEE;1941;31
2;DOROTHEE;1942;22
2;DOROTHEE;1943;24
2;DOROTHEE;1944;20
2;DOROTHEE;1945;29
2;DOROTHEE;1946;30
2;DOROTHEE;1947;46
2;DOROTHEE;1948;48
2;DOROTHEE;1949;57
2;DOROTHEE;1950;54
2;DOROTHEE;1951;44
2;DOROTHEE;1952;63
2;DOROTHEE;1953;82
2;DOROTHEE;1954;85
2;DOROTHEE;1955;66
2;DOROTHEE;1956;76
2;DOROTHEE;1957;86
2;DOROTHEE;1958;129
2;DOROTHEE;1959;113
2;DOROTHEE;1960;149
2;DOROTHEE;1961;179
2;DOROTHEE;1962;188
2;DOROTHEE;1963;232
2;DOROTHEE;1964;247
2;DOROTHEE;1965;210
2;DOROTHEE;1966;229
2;DOROTHEE;1967;299
2;DOROTHEE;1968;356
2;DOROTHEE;1969;517
2;DOROTHEE;1970;521
2;DOROTHEE;1971;489
2;DOROTHEE;1972;461
2;DOROTHEE;1973;472
2;DOROTHEE;1974;491
2;DOROTHEE;1975;415
2;DOROTHEE;1976;403
2;DOROTHEE;1977;453
2;DOROTHEE;1978;558
2;DOROTHEE;1979;797
2;DOROTHEE;1980;923
2;DOROTHEE;1981;1003
2;DOROTHEE;1982;985
2;DOROTHEE;1983;737
2;DOROTHEE;1984;534
2;DOROTHEE;1985;432
2;DOROTHEE;1986;323
2;DOROTHEE;1987;242
2;DOROTHEE;1988;145
2;DOROTHEE;1989;74
2;DOROTHEE;1990;56
2;DOROTHEE;1991;31
2;DOROTHEE;1992;30
2;DOROTHEE;1993;22
2;DOROTHEE;1994;5
2;DOROTHEE;1995;8
2;DOROTHEE;1996;9
2;DOROTHEE;1997;6
2;DOROTHEE;1998;8
2;DOROTHEE;1999;18
2;DOROTHEE;2000;6
2;DOROTHEE;2001;11
2;DOROTHEE;2002;8
2;DOROTHEE;2003;6
2;DOROTHEE;2004;9
2;DOROTHEE;2005;11
2;DOROTHEE;2006;8
2;DOROTHEE;2007;7
2;DOROTHEE;2008;12
2;DOROTHEE;2009;6
2;DOROTHEE;2010;4
2;DOROTHEE;XXXX;2
