sexe;preusuel;annais;nombre
2;SEMA;1974;3
2;SEMA;1975;3
2;SEMA;1976;5
2;SEMA;1977;5
2;SEMA;1978;5
2;SEMA;1979;5
2;SEMA;1980;8
2;SEMA;1981;12
2;SEMA;1982;9
2;SEMA;1983;12
2;SEMA;1984;8
2;SEMA;1985;4
2;SEMA;1986;8
2;SEMA;1987;12
2;SEMA;1988;14
2;SEMA;1989;5
2;SEMA;1990;18
2;SEMA;1991;19
2;SEMA;1992;17
2;SEMA;1993;13
2;SEMA;1994;18
2;SEMA;1995;28
2;SEMA;1996;33
2;SEMA;1997;21
2;SEMA;1998;31
2;SEMA;1999;15
2;SEMA;2000;24
2;SEMA;2001;35
2;SEMA;2002;36
2;SEMA;2003;20
2;SEMA;2004;21
2;SEMA;2005;20
2;SEMA;2006;24
2;SEMA;2007;32
2;SEMA;2008;16
2;SEMA;2009;24
2;SEMA;2010;18
2;SEMA;2011;5
2;SEMA;2012;14
2;SEMA;2013;9
2;SEMA;2014;12
2;SEMA;2015;16
2;SEMA;2016;17
2;SEMA;2017;8
2;SEMA;2018;6
2;SEMA;2019;13
2;SEMA;2020;10
2;SEMA;2021;9
2;SEMA;2022;7
2;SEMA;XXXX;2
