sexe;preusuel;annais;nombre
2;HAMEL;1964;3
2;HAMEL;1966;4
2;HAMEL;1970;6
2;HAMEL;1971;4
2;HAMEL;1972;5
2;HAMEL;1973;5
2;HAMEL;1974;5
2;HAMEL;1975;3
2;HAMEL;1976;6
2;HAMEL;1978;5
2;HAMEL;1979;5
2;HAMEL;1980;14
2;HAMEL;1981;10
2;HAMEL;1982;15
2;HAMEL;1983;14
2;HAMEL;1984;14
2;HAMEL;1985;10
2;HAMEL;1986;4
2;HAMEL;1987;14
2;HAMEL;1988;12
2;HAMEL;1989;6
2;HAMEL;1990;7
2;HAMEL;1991;7
2;HAMEL;1992;4
2;HAMEL;1993;12
2;HAMEL;1994;3
2;HAMEL;1995;5
2;HAMEL;1996;5
2;HAMEL;1997;7
2;HAMEL;1998;5
2;HAMEL;1999;4
2;HAMEL;2000;3
2;HAMEL;2001;5
2;HAMEL;2002;3
2;HAMEL;2003;4
2;HAMEL;XXXX;17
