sexe;preusuel;annais;nombre
1;SANTIAGO;1901;4
1;SANTIAGO;1911;3
1;SANTIAGO;1912;4
1;SANTIAGO;1913;4
1;SANTIAGO;1915;4
1;SANTIAGO;1916;5
1;SANTIAGO;1917;4
1;SANTIAGO;1921;6
1;SANTIAGO;1922;8
1;SANTIAGO;1923;7
1;SANTIAGO;1924;5
1;SANTIAGO;1925;6
1;SANTIAGO;1926;9
1;SANTIAGO;1927;8
1;SANTIAGO;1928;7
1;SANTIAGO;1929;6
1;SANTIAGO;1930;6
1;SANTIAGO;1931;14
1;SANTIAGO;1932;12
1;SANTIAGO;1933;8
1;SANTIAGO;1935;4
1;SANTIAGO;1936;3
1;SANTIAGO;1937;4
1;SANTIAGO;1938;3
1;SANTIAGO;1939;8
1;SANTIAGO;1941;3
1;SANTIAGO;1942;5
1;SANTIAGO;1943;4
1;SANTIAGO;1944;6
1;SANTIAGO;1945;5
1;SANTIAGO;1946;3
1;SANTIAGO;1947;3
1;SANTIAGO;1948;4
1;SANTIAGO;1949;7
1;SANTIAGO;1950;3
1;SANTIAGO;1951;6
1;SANTIAGO;1953;7
1;SANTIAGO;1954;8
1;SANTIAGO;1956;7
1;SANTIAGO;1957;10
1;SANTIAGO;1958;11
1;SANTIAGO;1959;10
1;SANTIAGO;1960;8
1;SANTIAGO;1961;16
1;SANTIAGO;1962;20
1;SANTIAGO;1963;31
1;SANTIAGO;1964;27
1;SANTIAGO;1965;20
1;SANTIAGO;1966;39
1;SANTIAGO;1967;27
1;SANTIAGO;1968;29
1;SANTIAGO;1969;33
1;SANTIAGO;1970;29
1;SANTIAGO;1971;22
1;SANTIAGO;1972;17
1;SANTIAGO;1973;17
1;SANTIAGO;1974;11
1;SANTIAGO;1975;14
1;SANTIAGO;1976;16
1;SANTIAGO;1977;11
1;SANTIAGO;1978;12
1;SANTIAGO;1979;10
1;SANTIAGO;1980;6
1;SANTIAGO;1981;8
1;SANTIAGO;1982;7
1;SANTIAGO;1983;11
1;SANTIAGO;1984;5
1;SANTIAGO;1985;6
1;SANTIAGO;1986;8
1;SANTIAGO;1988;9
1;SANTIAGO;1989;6
1;SANTIAGO;1990;4
1;SANTIAGO;1992;8
1;SANTIAGO;1993;3
1;SANTIAGO;1994;6
1;SANTIAGO;1995;8
1;SANTIAGO;1996;8
1;SANTIAGO;1997;11
1;SANTIAGO;1998;8
1;SANTIAGO;1999;15
1;SANTIAGO;2000;5
1;SANTIAGO;2001;12
1;SANTIAGO;2002;14
1;SANTIAGO;2003;9
1;SANTIAGO;2004;17
1;SANTIAGO;2005;20
1;SANTIAGO;2006;25
1;SANTIAGO;2007;26
1;SANTIAGO;2008;23
1;SANTIAGO;2009;28
1;SANTIAGO;2010;23
1;SANTIAGO;2011;38
1;SANTIAGO;2012;38
1;SANTIAGO;2013;42
1;SANTIAGO;2014;57
1;SANTIAGO;2015;76
1;SANTIAGO;2016;80
1;SANTIAGO;2017;84
1;SANTIAGO;2018;96
1;SANTIAGO;2019;102
1;SANTIAGO;2020;110
1;SANTIAGO;2021;112
1;SANTIAGO;2022;126
1;SANTIAGO;XXXX;27
