sexe;preusuel;annais;nombre
1;OCTAVIEN;1900;4
1;OCTAVIEN;1901;5
1;OCTAVIEN;1903;3
1;OCTAVIEN;1904;5
1;OCTAVIEN;1905;7
1;OCTAVIEN;1906;8
1;OCTAVIEN;1907;8
1;OCTAVIEN;1910;6
1;OCTAVIEN;1911;5
1;OCTAVIEN;1912;3
1;OCTAVIEN;1913;4
1;OCTAVIEN;1920;5
1;OCTAVIEN;1921;4
1;OCTAVIEN;1922;3
1;OCTAVIEN;1923;3
1;OCTAVIEN;1929;3
1;OCTAVIEN;1945;3
1;OCTAVIEN;1981;3
1;OCTAVIEN;1986;3
1;OCTAVIEN;1989;3
1;OCTAVIEN;1990;6
1;OCTAVIEN;1991;4
1;OCTAVIEN;1992;3
1;OCTAVIEN;1995;4
1;OCTAVIEN;1998;3
1;OCTAVIEN;2001;4
1;OCTAVIEN;2002;4
1;OCTAVIEN;2003;3
1;OCTAVIEN;2005;3
1;OCTAVIEN;2006;5
1;OCTAVIEN;2009;5
1;OCTAVIEN;2010;4
1;OCTAVIEN;2012;3
1;OCTAVIEN;XXXX;87
