sexe;preusuel;annais;nombre
2;MATY;1979;3
2;MATY;1981;4
2;MATY;1982;3
2;MATY;1984;5
2;MATY;1986;3
2;MATY;1987;5
2;MATY;1988;7
2;MATY;1989;4
2;MATY;1990;3
2;MATY;1993;3
2;MATY;1994;3
2;MATY;1995;4
2;MATY;1996;6
2;MATY;1998;6
2;MATY;2000;4
2;MATY;2001;3
2;MATY;2002;10
2;MATY;2003;8
2;MATY;2004;12
2;MATY;2005;5
2;MATY;2006;14
2;MATY;2007;8
2;MATY;2008;11
2;MATY;2009;11
2;MATY;2010;11
2;MATY;2011;14
2;MATY;2012;15
2;MATY;2013;9
2;MATY;2014;10
2;MATY;2015;6
2;MATY;2016;8
2;MATY;2017;13
2;MATY;2018;9
2;MATY;2019;14
2;MATY;2020;20
2;MATY;2021;6
2;MATY;2022;11
2;MATY;XXXX;22
