sexe;preusuel;annais;nombre
1;KERIAN;1991;4
1;KERIAN;1992;5
1;KERIAN;1993;4
1;KERIAN;1994;10
1;KERIAN;1995;16
1;KERIAN;1996;25
1;KERIAN;1997;12
1;KERIAN;1998;20
1;KERIAN;1999;34
1;KERIAN;2000;21
1;KERIAN;2001;44
1;KERIAN;2002;38
1;KERIAN;2003;46
1;KERIAN;2004;35
1;KERIAN;2005;54
1;KERIAN;2006;63
1;KERIAN;2007;52
1;KERIAN;2008;49
1;KERIAN;2009;51
1;KERIAN;2010;48
1;KERIAN;2011;30
1;KERIAN;2012;29
1;KERIAN;2013;26
1;KERIAN;2014;17
1;KERIAN;2015;11
1;KERIAN;2016;11
1;KERIAN;2017;14
1;KERIAN;2018;6
1;KERIAN;2019;3
1;KERIAN;2021;5
1;KERIAN;2022;8
1;KERIAN;XXXX;13
