sexe;preusuel;annais;nombre
2;JOSÉPHINE;1911;5
2;JOSÉPHINE;1912;7
2;JOSÉPHINE;1913;7
2;JOSÉPHINE;1914;12
2;JOSÉPHINE;1915;8
2;JOSÉPHINE;1916;7
2;JOSÉPHINE;1917;13
2;JOSÉPHINE;1918;16
2;JOSÉPHINE;1919;20
2;JOSÉPHINE;1920;39
2;JOSÉPHINE;1921;36
2;JOSÉPHINE;1922;38
2;JOSÉPHINE;1923;48
2;JOSÉPHINE;1924;39
2;JOSÉPHINE;1925;40
2;JOSÉPHINE;1926;34
2;JOSÉPHINE;1927;34
2;JOSÉPHINE;1928;50
2;JOSÉPHINE;1929;34
2;JOSÉPHINE;1930;35
2;JOSÉPHINE;1931;37
2;JOSÉPHINE;1932;28
2;JOSÉPHINE;1933;26
2;JOSÉPHINE;1934;21
2;JOSÉPHINE;1935;24
2;JOSÉPHINE;1936;18
2;JOSÉPHINE;1937;19
2;JOSÉPHINE;1938;8
2;JOSÉPHINE;1939;14
2;JOSÉPHINE;1940;15
2;JOSÉPHINE;1941;10
2;JOSÉPHINE;1942;11
2;JOSÉPHINE;1943;5
2;JOSÉPHINE;1944;9
2;JOSÉPHINE;1945;8
2;JOSÉPHINE;1946;13
2;JOSÉPHINE;1947;9
2;JOSÉPHINE;1948;12
2;JOSÉPHINE;1949;12
2;JOSÉPHINE;1950;11
2;JOSÉPHINE;1951;10
2;JOSÉPHINE;1952;8
2;JOSÉPHINE;1953;10
2;JOSÉPHINE;1954;7
2;JOSÉPHINE;1955;6
2;JOSÉPHINE;1956;7
2;JOSÉPHINE;1957;14
2;JOSÉPHINE;1958;12
2;JOSÉPHINE;1959;16
2;JOSÉPHINE;1960;25
2;JOSÉPHINE;1961;15
2;JOSÉPHINE;1962;15
2;JOSÉPHINE;1963;16
2;JOSÉPHINE;1964;12
2;JOSÉPHINE;1965;15
2;JOSÉPHINE;1966;19
2;JOSÉPHINE;1967;13
2;JOSÉPHINE;1968;19
2;JOSÉPHINE;1969;13
2;JOSÉPHINE;1970;14
2;JOSÉPHINE;1971;10
2;JOSÉPHINE;1972;14
2;JOSÉPHINE;1973;18
2;JOSÉPHINE;1974;22
2;JOSÉPHINE;1975;15
2;JOSÉPHINE;1976;18
2;JOSÉPHINE;1977;15
2;JOSÉPHINE;1978;22
2;JOSÉPHINE;1979;18
2;JOSÉPHINE;1980;23
2;JOSÉPHINE;1981;20
2;JOSÉPHINE;1982;25
2;JOSÉPHINE;1983;26
2;JOSÉPHINE;1984;40
2;JOSÉPHINE;1985;39
2;JOSÉPHINE;1986;37
2;JOSÉPHINE;1987;36
2;JOSÉPHINE;1988;62
2;JOSÉPHINE;1989;42
2;JOSÉPHINE;1990;30
2;JOSÉPHINE;1991;27
2;JOSÉPHINE;1992;42
2;JOSÉPHINE;1993;48
2;JOSÉPHINE;1994;60
2;JOSÉPHINE;1995;74
2;JOSÉPHINE;1996;89
2;JOSÉPHINE;1997;131
2;JOSÉPHINE;1998;119
2;JOSÉPHINE;1999;24
2;JOSÉPHINE;2000;3
2;JOSÉPHINE;2002;3
2;JOSÉPHINE;2009;4
2;JOSÉPHINE;2010;63
2;JOSÉPHINE;2011;266
2;JOSÉPHINE;2012;345
2;JOSÉPHINE;2013;433
2;JOSÉPHINE;2014;313
2;JOSÉPHINE;2015;392
2;JOSÉPHINE;2016;469
2;JOSÉPHINE;2017;498
2;JOSÉPHINE;2018;551
2;JOSÉPHINE;2019;552
2;JOSÉPHINE;2020;558
2;JOSÉPHINE;2021;586
2;JOSÉPHINE;2022;596
2;JOSÉPHINE;XXXX;15
