sexe;preusuel;annais;nombre
1;GIULIANO;1955;3
1;GIULIANO;1958;3
1;GIULIANO;1960;4
1;GIULIANO;1961;4
1;GIULIANO;1962;4
1;GIULIANO;1963;3
1;GIULIANO;1965;3
1;GIULIANO;1966;3
1;GIULIANO;1969;4
1;GIULIANO;1970;3
1;GIULIANO;1971;4
1;GIULIANO;1972;3
1;GIULIANO;1973;4
1;GIULIANO;1975;5
1;GIULIANO;1978;3
1;GIULIANO;1979;4
1;GIULIANO;1981;5
1;GIULIANO;1982;4
1;GIULIANO;1984;6
1;GIULIANO;1985;5
1;GIULIANO;1986;8
1;GIULIANO;1987;8
1;GIULIANO;1988;8
1;GIULIANO;1989;6
1;GIULIANO;1990;24
1;GIULIANO;1991;13
1;GIULIANO;1992;9
1;GIULIANO;1993;15
1;GIULIANO;1994;12
1;GIULIANO;1995;11
1;GIULIANO;1996;10
1;GIULIANO;1997;16
1;GIULIANO;1998;8
1;GIULIANO;1999;11
1;GIULIANO;2000;7
1;GIULIANO;2001;6
1;GIULIANO;2002;14
1;GIULIANO;2003;22
1;GIULIANO;2004;9
1;GIULIANO;2005;22
1;GIULIANO;2006;22
1;GIULIANO;2007;21
1;GIULIANO;2008;20
1;GIULIANO;2009;34
1;GIULIANO;2010;23
1;GIULIANO;2011;44
1;GIULIANO;2012;51
1;GIULIANO;2013;46
1;GIULIANO;2014;43
1;GIULIANO;2015;54
1;GIULIANO;2016;52
1;GIULIANO;2017;53
1;GIULIANO;2018;38
1;GIULIANO;2019;36
1;GIULIANO;2020;35
1;GIULIANO;2021;27
1;GIULIANO;2022;37
1;GIULIANO;XXXX;20
