sexe;preusuel;annais;nombre
2;FLORINE;1900;38
2;FLORINE;1901;43
2;FLORINE;1902;39
2;FLORINE;1903;39
2;FLORINE;1904;48
2;FLORINE;1905;36
2;FLORINE;1906;35
2;FLORINE;1907;45
2;FLORINE;1908;46
2;FLORINE;1909;39
2;FLORINE;1910;39
2;FLORINE;1911;30
2;FLORINE;1912;42
2;FLORINE;1913;37
2;FLORINE;1914;29
2;FLORINE;1915;14
2;FLORINE;1916;17
2;FLORINE;1917;19
2;FLORINE;1918;14
2;FLORINE;1919;14
2;FLORINE;1920;26
2;FLORINE;1921;21
2;FLORINE;1922;35
2;FLORINE;1923;27
2;FLORINE;1924;22
2;FLORINE;1925;18
2;FLORINE;1926;20
2;FLORINE;1927;26
2;FLORINE;1928;19
2;FLORINE;1929;20
2;FLORINE;1930;24
2;FLORINE;1931;14
2;FLORINE;1932;13
2;FLORINE;1933;26
2;FLORINE;1934;15
2;FLORINE;1935;6
2;FLORINE;1936;14
2;FLORINE;1937;9
2;FLORINE;1938;18
2;FLORINE;1939;9
2;FLORINE;1940;6
2;FLORINE;1941;10
2;FLORINE;1942;4
2;FLORINE;1943;7
2;FLORINE;1944;5
2;FLORINE;1945;5
2;FLORINE;1946;10
2;FLORINE;1947;7
2;FLORINE;1948;11
2;FLORINE;1949;8
2;FLORINE;1950;14
2;FLORINE;1951;6
2;FLORINE;1952;5
2;FLORINE;1953;16
2;FLORINE;1954;12
2;FLORINE;1955;8
2;FLORINE;1956;17
2;FLORINE;1957;25
2;FLORINE;1958;17
2;FLORINE;1959;15
2;FLORINE;1960;26
2;FLORINE;1961;31
2;FLORINE;1962;22
2;FLORINE;1963;23
2;FLORINE;1964;19
2;FLORINE;1965;22
2;FLORINE;1966;26
2;FLORINE;1967;15
2;FLORINE;1968;15
2;FLORINE;1969;18
2;FLORINE;1970;26
2;FLORINE;1971;14
2;FLORINE;1972;20
2;FLORINE;1973;24
2;FLORINE;1974;20
2;FLORINE;1975;31
2;FLORINE;1976;28
2;FLORINE;1977;38
2;FLORINE;1978;32
2;FLORINE;1979;48
2;FLORINE;1980;55
2;FLORINE;1981;55
2;FLORINE;1982;112
2;FLORINE;1983;95
2;FLORINE;1984;135
2;FLORINE;1985;148
2;FLORINE;1986;181
2;FLORINE;1987;237
2;FLORINE;1988;265
2;FLORINE;1989;334
2;FLORINE;1990;383
2;FLORINE;1991;478
2;FLORINE;1992;509
2;FLORINE;1993;428
2;FLORINE;1994;534
2;FLORINE;1995;566
2;FLORINE;1996;608
2;FLORINE;1997;560
2;FLORINE;1998;618
2;FLORINE;1999;541
2;FLORINE;2000;517
2;FLORINE;2001;469
2;FLORINE;2002;502
2;FLORINE;2003;462
2;FLORINE;2004;371
2;FLORINE;2005;326
2;FLORINE;2006;297
2;FLORINE;2007;261
2;FLORINE;2008;189
2;FLORINE;2009;174
2;FLORINE;2010;166
2;FLORINE;2011;132
2;FLORINE;2012;118
2;FLORINE;2013;102
2;FLORINE;2014;108
2;FLORINE;2015;91
2;FLORINE;2016;77
2;FLORINE;2017;51
2;FLORINE;2018;52
2;FLORINE;2019;44
2;FLORINE;2020;36
2;FLORINE;2021;30
2;FLORINE;2022;27
